Word1,Word2,Relation,Missing
ấm_a_ấm_ức,ấm_ức,SYN,ấm_a_ấm_ức
ấm_a_ấm_ức,hậm_hực,SYN,ấm_a_ấm_ức
ấm_chuyên,xuyến,SYN,ấm_chuyên
ấm_ớ,dấm_dớ,SYN,"ấm_ớ,dấm_dớ"
ấm_tích,bình_tích,SYN,"ấm_tích,bình_tích"
ậm_à_ậm_ạch,ậm_ạch,SYN,ậm_à_ậm_ạch
ậm_à_ậm_ạch,ì_ạch,SYN,ậm_à_ậm_ạch
ân_đức,ơn_đức,SYN,"ân_đức,ơn_đức"
ân_huệ,ơn_huệ,SYN,ơn_huệ
ân_xá,đại_xá,SYN,đại_xá
ẩn,ẩy,SYN,ẩy
ẩn,đẩn,SYN,đẩn
ẩn,náu,SYN,náu
ẩn_náu,ẩn_núp,SYN,ẩn_núp
ẩn_nấp,ẩn_núp,SYN,ẩn_núp
Ấn_Độ_giáo,đạo_Hindu,SYN,"Ấn_Độ_giáo,đạo_Hindu"
ấn_quyết,tay_ấn,SYN,ấn_quyết
ầng_ậng,ầng_ậc,SYN,"ầng_ậng,ầng_ậc"
ấp_a_ấp_úng,ấp_úng,SYN,ấp_a_ấp_úng
ấp_chiến_lược,ấp_dân_sinh,SYN,ấp_dân_sinh
ấp_ủ,ủ_ấp,SYN,ủ_ấp
ất_giáp,mô_tê,SYN,ất_giáp
ẩy,du,SYN,ẩy
ẩy,đẩn,SYN,"ẩy,đẩn"
ẩy,đẩy,SYN,ẩy
ẩy,xô,SYN,ẩy
ba_que,đểu_cáng,SYN,"ba_que,đểu_cáng"
ba_que,đểu_giả,SYN,ba_que
ba_que,xỏ_lá,SYN,"ba_que,xỏ_lá"
bà_gia,bà_nhạc,SYN,"bà_gia,bà_nhạc"
bà_gia,nhạc_mẫu,SYN,"bà_gia,nhạc_mẫu"
Bà_La_Môn_giáo,đạo_Bà_La_Môn,SYN,"Bà_La_Môn_giáo,đạo_Bà_La_Môn"
bà_nguyệt,Nguyệt_Lão,SYN,Nguyệt_Lão
bà_xơ,bà_phước,SYN,bà_xơ
bạc,bợt,SYN,bợt
bạc,lợt,SYN,lợt
bạc_bromure,bromure_bạc,SYN,"bạc_bromure,bromure_bạc"
bạc_màu,bạc_mầu,SYN,bạc_mầu
bạc_mày,vẹc_bông_lau,SYN,"bạc_mày,vẹc_bông_lau"
bạc_nhạc,bạng_nhạng,SYN,"bạc_nhạc,bạng_nhạng"
bách_diệp,trắc_bá,SYN,"bách_diệp,trắc_bá"
bách_diệp,trắc_bách_diệp,SYN,"bách_diệp,trắc_bách_diệp"
bách_thanh,chàng_làng,SYN,"bách_thanh,chàng_làng"
bách_thú,vườn_bách_thú,SYN,bách_thú
bạch_cầu,bạch_huyết_cầu,SYN,bạch_huyết_cầu
bài,bài_bác,SYN,bài_bác
bài_bác,bài_xích,SYN,bài_bác
bài_tiết,bài_xuất,SYN,bài_xuất
bài_trung,luật_bài_trung,SYN,"bài_trung,luật_bài_trung"
bãi_chợ,bãi_thị,SYN,"bãi_chợ,bãi_thị"
bại_binh,bại_quân,SYN,bại_quân
bại_vong,diệt_vong,SYN,bại_vong
bại_vong,tiêu_vong,SYN,"bại_vong,tiêu_vong"
bàn_lùi,bàn_rùn,SYN,"bàn_lùi,bàn_rùn"
bàn_thờ,bàn_độc,SYN,bàn_độc
bản_ghi_nhớ,bị_vong_lục,SYN,bị_vong_lục
bản_lãnh,bản_lĩnh,SYN,bản_lãnh
bản_mạch,bo_mạch,SYN,bản_mạch
bản_mạch_chủ,bo_mạch_chủ,SYN,bản_mạch_chủ
bán_hoá_giá,hoá_giá,SYN,bán_hoá_giá
bán_mạng,thục_mạng,SYN,bán_mạng
bán_nguyên_âm,bán_phụ_âm,SYN,"bán_nguyên_âm,bán_phụ_âm"
bán_thành_phẩm,nửa_thành_phẩm,SYN,nửa_thành_phẩm
bán_tháo,bán_tống,SYN,bán_tống
bán_trả_dần,bán_trả_góp,SYN,bán_trả_dần
bạn_đời,bạn_trăm_năm,SYN,bạn_trăm_năm
bảng_chữ_cái,alphabet,SYN,alphabet
bảng_cửu_chương,cửu_chương,SYN,"bảng_cửu_chương,cửu_chương"
báng,búng_báng,SYN,búng_báng
bánh_cuốn,bánh_mướt,SYN,bánh_mướt
bánh_ít,bánh_ếch,SYN,bánh_ếch
bánh_mật,da_bánh_mật,SYN,da_bánh_mật
bánh_quy,bích_quy,SYN,bích_quy
bánh_tro,bánh_gio,SYN,"bánh_tro,bánh_gio"
bánh_xèo,bánh_khoái,SYN,bánh_khoái
bao_bố,bao_tời,SYN,bao_tời
bao_bố,khố_tải,SYN,khố_tải
bao_dung,bao_dong,SYN,bao_dong
bao_la,mông_mênh,SYN,mông_mênh
bao_mua,bao_tiêu,SYN,bao_mua
bao_nhiêu,bao_lăm,SYN,bao_lăm
bao_tải,bao_tời,SYN,bao_tời
bao_tải,khố_tải,SYN,khố_tải
bao_tời,khố_tải,SYN,"bao_tời,khố_tải"
bao_vây,phong_bế,SYN,phong_bế
bảo_lãnh,bảo_lĩnh,SYN,bảo_lĩnh
bảo_mạng,bảo_mệnh,SYN,"bảo_mạng,bảo_mệnh"
bảo_thủ,thủ_cựu,SYN,thủ_cựu
bão_dông,dông_bão,SYN,bão_dông
bão_dông,giông_bão,SYN,bão_dông
báo_ân,báo_ơn,SYN,báo_ơn
bầm,u,SYN,u
bẩm_chất,tư_chất,SYN,bẩm_chất
bẩm_tính,thiên_tính,SYN,"bẩm_tính,thiên_tính"
bẫm,bở,SYN,bẫm
bấm,bấm_đốt,SYN,bấm_đốt
bấm_ra_sữa,búng_ra_sữa,SYN,bấm_ra_sữa
bậm,bặm,SYN,bậm
bậm,mắm,SYN,bậm
bậm,mím,SYN,bậm
bậm,mập,SYN,bậm
bậm_bạp,mập_mạp,SYN,bậm_bạp
bần_thần,đẫn_đờ,SYN,đẫn_đờ
bần_thần,lần_thần,SYN,lần_thần
bần_thần,thờ_thẫn,SYN,thờ_thẫn
bần_tiện,bủn_xỉn,SYN,bần_tiện
bần_tiện,keo_kiệt,SYN,bần_tiện
bẩn,nhớp,SYN,nhớp
bẩn_thỉu,dơ_dáy,SYN,dơ_dáy
bấn,bấn_bíu,SYN,"bấn,bấn_bíu"
bê_trễ,bê_trệ,SYN,bê_trệ
bề_tôi,bầy_tôi,SYN,"bề_tôi,bầy_tôi"
bể_dâu,bãi_bể_nương_dâu,SYN,"bể_dâu,bãi_bể_nương_dâu"
bể_dâu,dâu_bể,SYN,"bể_dâu,dâu_bể"
bể_dâu,tang_hải,SYN,"bể_dâu,tang_hải"
bể_dâu,tang_thương,SYN,bể_dâu
bể_dâu,thương_hải_tang_điền,SYN,"bể_dâu,thương_hải_tang_điền"
bệ_hạ,chúa_thượng,SYN,chúa_thượng
bệ_hạ,thánh_thượng,SYN,thánh_thượng
bệ_vệ,đường_bệ,SYN,đường_bệ
bệ_xí,bàn_cầu,SYN,"bệ_xí,bàn_cầu"
bệ_xí,bồn_cầu,SYN,bệ_xí
bệch_bạc,bềnh_bệch,SYN,"bệch_bạc,bềnh_bệch"
bền_chí,kiên_trì,SYN,bền_chí
báo_đáp,báo_ơn,SYN,báo_ơn
báo_hỉ,báo_hỷ,SYN,"báo_hỉ,báo_hỷ"
báo_oán,báo_thù,SYN,báo_oán
báo_oán,phục_thù,SYN,báo_oán
báo_oán,trả_thù,SYN,báo_oán
báo_tang,cáo_phó,SYN,"báo_tang,cáo_phó"
báo_tường,bích_báo,SYN,bích_báo
báo_yên,báo_an,SYN,báo_yên
bạo_động,đảo_chánh,SYN,đảo_chánh
bạo_gan,bạo_phổi,SYN,bạo_phổi
bạo_miệng,bạo_mồm,SYN,bạo_mồm
bạo_phổi,to_gan,SYN,bạo_phổi
bát_ngát,mông_mênh,SYN,mông_mênh
bạt_mạng,bạt_tử,SYN,bạt_tử
bạt_mạng,văng_mạng,SYN,văng_mạng
bạt_mạng,vong_mạng,SYN,vong_mạng
bạt_tử,bất_tử,SYN,bạt_tử
bạt_tử,văng_mạng,SYN,"bạt_tử,văng_mạng"
bạt_tử,vong_mạng,SYN,"bạt_tử,vong_mạng"
bạt_vía,bạt_vía_kinh_hồn,SYN,"bạt_vía,bạt_vía_kinh_hồn"
bạt_vía,hết_hồn,SYN,bạt_vía
bạt_vía,hết_vía,SYN,"bạt_vía,hết_vía"
bạt_vía,khiếp_vía,SYN,bạt_vía
bàu_bạu,bầu_bậu,SYN,"bàu_bạu,bầu_bậu"
bày_vai,bằng_vai,SYN,bày_vai
bắc_sài_hồ,sài_hồ,SYN,bắc_sài_hồ
băm,vằm,SYN,vằm
bằm,vằm,SYN,vằm
bằn_bặt,bặt,SYN,bằn_bặt
bằn_bặt,biệt,SYN,bằn_bặt
bẳn,cáu,SYN,bẳn
bẳn,gắt,SYN,bẳn
bẳn_gắt,cáu_bẳn,SYN,bẳn_gắt
bẳn_gắt,cáu_gắt,SYN,bẳn_gắt
băng_đảo,băng_sơn,SYN,băng_đảo
băng_đảo,núi_băng,SYN,băng_đảo
băng_hà,thăng_hà,SYN,thăng_hà
băng_xăng,lăng_xăng,SYN,băng_xăng
bằng_chứng,bằng_cớ,SYN,bằng_cớ
bằng_chứng,bằng_cứ,SYN,bằng_cứ
bằng_cớ,bằng_cứ,SYN,"bằng_cớ,bằng_cứ"
bằng_cớ,chứng_cớ,SYN,bằng_cớ
bằng_cớ,chứng_cứ,SYN,bằng_cớ
bằng_cứ,chứng_cớ,SYN,bằng_cứ
bằng_cứ,chứng_cứ,SYN,bằng_cứ
bắng_nhắng,bặng_nhặng,SYN,"bắng_nhắng,bặng_nhặng"
bắng_nhắng,nhắng_nhít,SYN,"bắng_nhắng,nhắng_nhít"
bắt_bẻ,hoạnh_hoẹ,SYN,hoạnh_hoẹ
bắt_bí,bóp_chẹt,SYN,bóp_chẹt
bắt_chẹt,bóp_chẹt,SYN,bóp_chẹt
bắt_đền,bắt_thường,SYN,bắt_thường
bắt_mạch,xem_mạch,SYN,xem_mạch
bắt_nhân_tình,bắt_bồ,SYN,"bắt_nhân_tình,bắt_bồ"
bắt_nhân_tình,bồ_bịch,SYN,bắt_nhân_tình
bắt_nhân_tình,cặp_bồ,SYN,bắt_nhân_tình
bắt_nhân_tình,ngoại_tình,SYN,bắt_nhân_tình
bắt_nợ,xiết_nợ,SYN,bắt_nợ
bắt_quyết,bắt_ấn,SYN,"bắt_quyết,bắt_ấn"
bắt_thăm,bốc_thăm,SYN,bắt_thăm
bắt_thăm,gắp_thăm,SYN,bắt_thăm
bắt_thóp,biết_thóp,SYN,"bắt_thóp,biết_thóp"
bắt_vạ,ngả_vạ,SYN,"bắt_vạ,ngả_vạ"
bắt_vạ,phạt_vạ,SYN,"bắt_vạ,phạt_vạ"
bặt_thiệp,bạt_thiệp,SYN,"bặt_thiệp,bạt_thiệp"
bận_lòng,nhọc_lòng,SYN,nhọc_lòng
bận_tâm,nhọc_lòng,SYN,nhọc_lòng
bấp_ba_bấp_bênh,bấp_bênh,SYN,bấp_ba_bấp_bênh
bấp_bênh,cập_kênh,SYN,cập_kênh
bập_bà_bập_bềnh,bập_bềnh,SYN,bập_bà_bập_bềnh
bập_bà_bập_bềnh,bập_bồng,SYN,"bập_bà_bập_bềnh,bập_bồng"
bập_bà_bập_bềnh,bềnh_bồng,SYN,"bập_bà_bập_bềnh,bềnh_bồng"
bập_bà_bập_bềnh,bồng_bềnh,SYN,bập_bà_bập_bềnh
bập_bà_bập_bềnh,dập_dềnh,SYN,bập_bà_bập_bềnh
bập_bà_bập_bềnh,rập_rình,SYN,bập_bà_bập_bềnh
bập_bà_bập_bõm,bập_bõm,SYN,bập_bà_bập_bõm
bập_bà_bập_bõm,lõm_bõm,SYN,"bập_bà_bập_bõm,lõm_bõm"
bập_bà_bập_bõm,lỗ_mỗ,SYN,"bập_bà_bập_bõm,lỗ_mỗ"
bập_bà_bập_bùng,bập_bùng,SYN,bập_bà_bập_bùng
bập_bềnh,bập_bồng,SYN,bập_bồng
bập_bềnh,bềnh_bồng,SYN,bềnh_bồng
bập_bõm,lõm_bõm,SYN,lõm_bõm
bập_bõm,lỗ_mỗ,SYN,lỗ_mỗ
bập_bồng,bềnh_bồng,SYN,"bập_bồng,bềnh_bồng"
bập_bồng,bồng_bềnh,SYN,bập_bồng
bập_bồng,dập_dềnh,SYN,bập_bồng
bập_bồng,rập_rình,SYN,bập_bồng
bất_chợt,hốt_nhiên,SYN,hốt_nhiên
bất_cứ,vô_luận,SYN,vô_luận
bất_đồ,bất_giác,SYN,bất_đồ
bất_đồng,dị_đồng,SYN,dị_đồng
bất_kể,vô_luận,SYN,vô_luận
bất_kì,vô_luận,SYN,vô_luận
bất_luận,vô_luận,SYN,vô_luận
bất_lương,vô_lương,SYN,vô_lương
bất_nghĩa,bất_nghì,SYN,"bất_nghĩa,bất_nghì"
bất_nghĩa,bội_bạc,SYN,bất_nghĩa
bất_nghĩa,vô_nghĩa,SYN,bất_nghĩa
bất_tài,vô_tài,SYN,vô_tài
bất_tất,hà_tất,SYN,"bất_tất,hà_tất"
bất_thần,hốt_nhiên,SYN,hốt_nhiên
bất_tử,văng_mạng,SYN,văng_mạng
bất_tử,vong_mạng,SYN,vong_mạng
bầu_cử,tuyển_cử,SYN,tuyển_cử
bầu_eo,bầu_nậm,SYN,"bầu_eo,bầu_nậm"
bấu_véo,bấu_véo,SYN,"bấu_véo,bấu_véo"
bấu_véo,cấu_véo,SYN,bấu_véo
bấu_víu,bám_bíu,SYN,bám_bíu
bầy_nhầy,bèo_nhèo,SYN,"bầy_nhầy,bèo_nhèo"
bầy_nhầy,lèo_nhèo,SYN,"bầy_nhầy,lèo_nhèo"
bẫy,cạm,SYN,cạm
bấy_giờ,bấy_chừ,SYN,bấy_chừ
bấy_nay,bấy_lâu,SYN,bấy_nay
be_bét,bét_be,SYN,bét_be
bè_cánh,bè_đảng,SYN,"bè_cánh,bè_đảng"
bè_cánh,bè_phái,SYN,bè_cánh
bè_cánh,phe_cánh,SYN,bè_cánh
bè_cánh,vây_cánh,SYN,bè_cánh
bè_đảng,bè_phái,SYN,bè_đảng
bè_đảng,phe_đảng,SYN,"bè_đảng,phe_đảng"
bẽ,ê,SYN,"bẽ,ê"
bẽ,tẽn,SYN,"bẽ,tẽn"
bẽ_mặt,ngượng_mặt,SYN,ngượng_mặt
bẻm_mép,bẻo_lẻo,SYN,"bẻm_mép,bẻo_lẻo"
bẻm_mép,lém,SYN,bẻm_mép
bẻm_mép,lém_lỉnh,SYN,bẻm_mép
bẽn_lẽn,xẻn_lẻn,SYN,xẻn_lẻn
bén_mảng,léo_hánh,SYN,léo_hánh
béng,phăng,SYN,béng
béng,phắt,SYN,béng
béng,phứt,SYN,"béng,phứt"
béng,quách,SYN,béng
béng,trớt,SYN,"béng,trớt"
béng,phéng,SYN,"béng,phéng"
bèo_bọt,bọt_bèo,SYN,bọt_bèo
bèo_cám,bèo_tấm,SYN,"bèo_cám,bèo_tấm"
bèo_dâu,bèo_hoa_dâu,SYN,"bèo_dâu,bèo_hoa_dâu"
bèo_lục_bình,bèo_Nhật_Bản,SYN,"bèo_lục_bình,bèo_Nhật_Bản"
bèo_lục_bình,bèo_tây,SYN,bèo_lục_bình
bèo_Nhật_Bản,bèo_tây,SYN,bèo_Nhật_Bản
bèo_nhèo,lèo_nhèo,SYN,"bèo_nhèo,lèo_nhèo"
bẻo_lẻo,lém_lỉnh,SYN,bẻo_lẻo
béo_múp,béo_núc,SYN,"béo_múp,béo_núc"
béo_múp,béo_nung_núc,SYN,"béo_múp,béo_nung_núc"
béo_núc,béo_nung_núc,SYN,"béo_núc,béo_nung_núc"
bê_bết,bí_bét,SYN,bí_bét
bê_rê,mũ_nồi,SYN,bê_rê
bê_tông_cốt_sắt,bê_tông_cốt_thép,SYN,bê_tông_cốt_sắt
bến_bờ,bờ_bến,SYN,bờ_bến
bềnh_bồng,bềnh_bồng,SYN,"bềnh_bồng,bềnh_bồng"
bềnh_bồng,dập_dềnh,SYN,bềnh_bồng
bềnh_bồng,rập_rình,SYN,bềnh_bồng
bệnh_hoạn,tật_bệnh,SYN,tật_bệnh
bệnh_lí,bệnh_lý,SYN,bệnh_lí
bệnh_tật,tật_bệnh,SYN,tật_bệnh
bếp_núc,bếp_nước,SYN,bếp_nước
bệt,xệp,SYN,xệp
bêu_riếu,bêu_nhuốc,SYN,bêu_nhuốc
bi_a,bi_da,SYN,bi_a
bi_ba_bi_bô,bi_bô,SYN,bi_ba_bi_bô
bi_đông,bình_toong,SYN,"bi_đông,bình_toong"
bì_bà_bì_bõm,bì_bõm,SYN,bì_bà_bì_bõm
bì_khổng,lỗ_bì,SYN,"bì_khổng,lỗ_bì"
bì_sị,bị_sị,SYN,"bì_sị,bị_sị"
bí_đao,bí_phấn,SYN,bí_phấn
bí_đỏ,bí_rợ,SYN,bí_rợ
bí_ngô,bí_rợ,SYN,bí_rợ
bí_thơ,bí_thư,SYN,bí_thơ
bìa_giả,bìa_trong,SYN,"bìa_giả,bìa_trong"
bịa,khịa,SYN,khịa
bịa,phịa,SYN,phịa
bích_cốt,bít_cốt,SYN,"bích_cốt,bít_cốt"
bịch,bình_bịch,SYN,bình_bịch
biếc,biêng_biếc,SYN,biêng_biếc
biên_cương,biên_thuỳ,SYN,biên_thuỳ
biên_giới,biên_thuỳ,SYN,biên_thuỳ
biến_sắc,thất_sắc,SYN,thất_sắc
biếng_nhác,chây_lười,SYN,"biếng_nhác,chây_lười"
biếng_nhác,lười_biếng,SYN,biếng_nhác
biếng_nhác,lười_nhác,SYN,biếng_nhác
biết_bao,biết_mấy_xiết_bao,SYN,biết_mấy_xiết_bao
biết_bao_nhiêu,xiết_bao,SYN,xiết_bao
biết_chừng_nào,xiết_bao,SYN,xiết_bao
biết_đâu,biết_đâu_chừng,SYN,biết_đâu_chừng
biết_mấy,xiết_bao,SYN,xiết_bao
biết_ơn,hàm_ân,SYN,hàm_ân
biết_ơn,hàm_ơn,SYN,hàm_ơn
biết_tỏng,biết_tỏng_tòng_tong,SYN,biết_tỏng_tòng_tong
biệt_đãi,ưu_đãi,SYN,biệt_đãi
biệt_li,biệt_ly,SYN,"biệt_li,biệt_ly"
biệt_li,chia_li,SYN,"biệt_li,chia_li"
biệt_li,chia_ly_chia_phôi,SYN,"biệt_li,chia_ly_chia_phôi"
biệt_li,li_biệt,SYN,"biệt_li,li_biệt"
biệt_li,phân_li,SYN,"biệt_li,phân_li"
biệt_ly,chia_li,SYN,"biệt_ly,chia_li"
biệt_ly,chia_ly,SYN,biệt_ly
biệt_ly,chia_phôi,SYN,"biệt_ly,chia_phôi"
biệt_ly,li_biệt,SYN,"biệt_ly,li_biệt"
biệt_ly,ly_biệt,SYN,biệt_ly
biệt_ly,phân_li,SYN,"biệt_ly,phân_li"
biệt_ly,phân_ly,SYN,biệt_ly
biệt_tài,đặc_tài,SYN,đặc_tài
biệt_thự,vi_la,SYN,vi_la
biểu_đồ,giản_đồ,SYN,giản_đồ
binh_công_xưởng,công_binh_xưởng,SYN,"binh_công_xưởng,công_binh_xưởng"
binh_lính,lính_tráng,SYN,lính_tráng
binh_lửa,lửa_binh,SYN,"binh_lửa,lửa_binh"
bình_bản,bình_bán,SYN,"bình_bản,bình_bán"
bình_vôi,củ_bình_vôi,SYN,củ_bình_vôi
bít_bùng,bịt_bùng,SYN,bịt_bùng
bìu_dái,dái,SYN,"bìu_dái,dái"
bìu_dái,đì,SYN,bìu_dái
bỏ_bà,bỏ_bố,SYN,"bỏ_bà,bỏ_bố"
bỏ_bà,bỏ_cha,SYN,"bỏ_bà,bỏ_cha"
bỏ_bà,bỏ_đời,SYN,"bỏ_bà,bỏ_đời"
bỏ_bà,bỏ_mẹ,SYN,bỏ_bà
bỏ_bà,bỏ_xừ,SYN,"bỏ_bà,bỏ_xừ"
bỏ_bà,chết_cha,SYN,bỏ_bà
bỏ_bê,bỏ_bễ,SYN,bỏ_bễ
bỏ_bố,bỏ_cha,SYN,"bỏ_bố,bỏ_cha"
bỏ_bố,bỏ_đời,SYN,"bỏ_bố,bỏ_đời"
bỏ_bố,bỏ_mẹ,SYN,bỏ_bố
bỏ_bố,bỏ_xừ,SYN,"bỏ_bố,bỏ_xừ"
bỏ_bố,chết_cha,SYN,bỏ_bố
bỏ_cha,bỏ_đời,SYN,"bỏ_cha,bỏ_đời"
bỏ_cha,bỏ_mẹ,SYN,bỏ_cha
bỏ_cha,bỏ_xừ,SYN,"bỏ_cha,bỏ_xừ"
bỏ_cha,chết_cha,SYN,bỏ_cha
bỏ_đời,bỏ_mẹ,SYN,bỏ_đời
bỏ_đời,bỏ_xừ,SYN,"bỏ_đời,bỏ_xừ"
bỏ_đời,chết_cha,SYN,bỏ_đời
bỏ_mạng,bỏ_đời,SYN,bỏ_đời
bỏ_mạng,bỏ_thây,SYN,bỏ_thây
bỏ_mẹ,bỏ_xừ,SYN,bỏ_xừ
bỏ_phiếu,bỏ_thăm,SYN,bỏ_thăm
bỏ_xác,bỏ_đời,SYN,bỏ_đời
bỏ_xác,bỏ_thây,SYN,bỏ_thây
bỏ_xừ,chết_cha,SYN,bỏ_xừ
bó_gối,bó_giò,SYN,bó_giò
bọ_dừa,bọ_đa,SYN,"bọ_dừa,bọ_đa"
bọ_dừa,bọ_vừng,SYN,"bọ_dừa,bọ_vừng"
bọ_đa,bọ_vừng,SYN,"bọ_đa,bọ_vừng"
bọ_gậy,cung_quăng,SYN,cung_quăng
bọ_mạt,bọ_mát,SYN,"bọ_mạt,bọ_mát"
bói_cá,chim_thầy_bói,SYN,"bói_cá,chim_thầy_bói"
bói_đâu_ra,bói_không_ra,SYN,"bói_đâu_ra,bói_không_ra"
bom_H,bom_khinh_khí,SYN,"bom_H,bom_khinh_khí"
bòn_bon,lòn_bon,SYN,"bòn_bon,lòn_bon"
bỏng_rạ,trái_rạ,SYN,bỏng_rạ
bông_lơn,ba_lơn,SYN,"bông_lơn,ba_lơn"
bông_lơn,bỡn_cợt,SYN,bông_lơn
bông_thùa,hải_quì,SYN,"bông_thùa,hải_quì"
bông_thùa,hải_quỳ,SYN,"bông_thùa,hải_quỳ"
bồng_bềnh,bềnh_bồng,SYN,bềnh_bồng
bỗng,hốt_nhiên,SYN,hốt_nhiên
bỗng_dưng,không_dưng,SYN,không_dưng
bỗng_nhiên,hốt_nhiên,SYN,hốt_nhiên
bừa,phứa,SYN,phứa
bừa_phứa,phứa_phựa,SYN,"bừa_phứa,phứa_phựa"
