Word1,Word2,Relation,POS_GROUP,Missing
phụ_thân,mẹ,ANT,NOUN,phụ_thân
giữa,khởi_thuỷ,ANT,NOUN,khởi_thuỷ
ca_vát,cà_vạt,SYN,NOUN,ca_vát
ngụm,hụm,SYN,NOUN,hụm
kên_kên,kền_kền,SYN,NOUN,kên_kên
dĩ_vãng,vị_lai,ANT,NOUN,vị_lai
khởi_thuỷ,kết_thúc,ANT,NOUN,khởi_thuỷ
thị_lực,nhãn_lực,SYN,NOUN,nhãn_lực
ngoác,ngoạc,SYN,VERB,ngoạc
thòi,tòi,SYN,VERB,tòi
cản_ngăn,ngăn_cản,SYN,VERB,cản_ngăn
khinh_nhờn,kính_trọng,ANT,VERB,khinh_nhờn
quịt,quỵt,SYN,VERB,quịt
tiệt_trừ,diệt_trừ,SYN,VERB,tiệt_trừ
chựng,sựng,SYN,VERB,sựng
giở_mặt,lật_lọng,SYN,VERB,giở_mặt
li_biệt,sum_họp,ANT,VERB,li_biệt
phung_phí,sẻn,ANT,VERB,sẻn
quên_béng,quên_khuấy,SYN,VERB,quên_khuấy
báo_ơn,báo_thù,ANT,VERB,báo_ơn
dịt,rịt,SYN,VERB,"dịt,rịt"
ngốn_ngấu,ngấu_nghiến,SYN,VERB,ngốn_ngấu
khuỵ,quỵ,SYN,VERB,khuỵ
trụt,sụt,SYN,VERB,trụt
van_lạy,van_vái,SYN,VERB,"van_lạy,van_vái"
bổ_dụng,miễn_nhiệm,ANT,VERB,bổ_dụng
lủi,lỉnh,SYN,VERB,lỉnh
rối_bù,rối_mù,SYN,VERB,rối_mù
bội_nghĩa,biết_ơn,ANT,VERB,bội_nghĩa
báo_ân,báo_oán,ANT,VERB,báo_oán
chõ,chõ_mồm,SYN,VERB,chõ_mồm
bổ_nhậm,miễn_nhiệm,ANT,VERB,bổ_nhậm
nản_chí,thoái_chí,SYN,VERB,thoái_chí
cải_giá,tái_giá,SYN,VERB,cải_giá
xỉa,xía,SYN,VERB,xía
bậm,bặm,SYN,VERB,bậm
tố_giác,cáo_giác,SYN,VERB,cáo_giác
bội_nghĩa,hàm_ơn,ANT,VERB,"bội_nghĩa,hàm_ơn"
ngỏm,ngủm,SYN,VERB,"ngỏm,ngủm"
bức_hiếp,ức_hiếp,SYN,VERB,bức_hiếp
đồn_đãi,phao,SYN,VERB,đồn_đãi
dây,dính_dấp,SYN,VERB,dính_dấp
hắt_hơi,hắt_xì_hơi,SYN,VERB,hắt_xì_hơi
phân_bì,tị_nạnh,SYN,VERB,phân_bì
phân_li,đoàn_tụ,ANT,VERB,phân_li
nuông,nuông_chiều,SYN,VERB,nuông
hắng_giọng,tằng_hắng,SYN,VERB,"hắng_giọng,tằng_hắng"
phúng,phúng_viếng,SYN,VERB,phúng
rờ_mó,sờ_mó,SYN,VERB,rờ_mó
thoái_chí,kiên_định,ANT,VERB,thoái_chí
phá_quấy,quậy_phá,SYN,VERB,phá_quấy
phá_quấy,quấy_nhiễu,SYN,VERB,phá_quấy
chia_li,đoàn_tụ,ANT,VERB,chia_li
ngồi_xổm,ngồi_chồm_hổm,SYN,VERB,ngồi_chồm_hổm
vận_chuyển,chuyển_vận,SYN,VERB,chuyển_vận
lỉnh,lỏn,SYN,VERB,"lỉnh,lỏn"
gởi_gắm,gửi_gắm,SYN,VERB,gởi_gắm
ngả_nghiêng,thối_chí,SYN,VERB,thối_chí
biệt_ly,sum_họp,ANT,VERB,biệt_ly
chia_phôi,li_biệt,SYN,VERB,"chia_phôi,li_biệt"
thộp,chộp,SYN,VERB,thộp
ngoẻo,toi,SYN,VERB,ngoẻo
bắt_thăm,bốc_thăm,SYN,VERB,bắt_thăm
chứng_thực,nhận_thực,SYN,VERB,nhận_thực
dạt,giạt,SYN,VERB,giạt
thọc,xọc,SYN,VERB,xọc
chia_phôi,đoàn_tụ,ANT,VERB,chia_phôi
nhảy_xổ,nhảy_bổ,SYN,VERB,nhảy_xổ
báo_oán,báo_ơn,ANT,VERB,"báo_oán,báo_ơn"
đùa_giỡn,nô_giỡn,SYN,VERB,nô_giỡn
vẩu,vổ,SYN,ADJ,vổ
thô_lỗ,lỗ_mãng,SYN,ADJ,lỗ_mãng
quỉ_quái,quái_quỷ,SYN,ADJ,quỉ_quái
ngu_đần,thông_minh,ANT,ADJ,ngu_đần
tối_tăm,tối_dạ,SYN,ADJ,tối_dạ
dơ_dáy,sạch,ANT,ADJ,dơ_dáy
man_trá,xảo_quyệt,SYN,ADJ,man_trá
thanh_vắng,thanh_u,SYN,ADJ,thanh_u
nhạt_phèo,mặn_mòi,ANT,ADJ,nhạt_phèo
chây_lười,lười_nhác,SYN,ADJ,chây_lười
hiểm_yếu,xung_yếu,SYN,ADJ,hiểm_yếu
nhẹ_bỗng,nhẹ_tênh,SYN,ADJ,nhẹ_bỗng
diệu_kì,kỳ_diệu,SYN,ADJ,diệu_kì
ma_lanh,tinh_ranh,SYN,ADJ,ma_lanh
diệu_kì,thần_diệu,SYN,ADJ,diệu_kì
đờ_đẫn,thờ_thẫn,SYN,ADJ,thờ_thẫn
đơ,đừ,SYN,ADJ,đừ
teo_tóp,quắt_queo,SYN,ADJ,quắt_queo
nhạt,lợt,SYN,ADJ,lợt
gian_giảo,xảo_quyệt,SYN,ADJ,gian_giảo
nhàu,nhầu,SYN,ADJ,nhầu
thơ_thới,thư_thái,SYN,ADJ,thơ_thới
cụt_lủn,cụt_ngủn,SYN,ADJ,cụt_ngủn
đần_độn,ngu_si,SYN,ADJ,ngu_si
chăm_bẳm,chằm_chằm,SYN,ADJ,chăm_bẳm
quạnh,quạnh_hiu,SYN,ADJ,"quạnh,quạnh_hiu"
thơ_thới,lo_âu,ANT,ADJ,thơ_thới
xinh_xắn,xinh_xẻo,SYN,ADJ,xinh_xẻo
ướt_rượt,ướt_sũng,SYN,ADJ,ướt_rượt
cay_chua,sâu_cay,SYN,ADJ,cay_chua
bận_bịu,thư_nhàn,ANT,ADJ,thư_nhàn
giảo_quyệt,man_trá,SYN,ADJ,"giảo_quyệt,man_trá"
thông_minh,tối_dạ,ANT,ADJ,tối_dạ
vững_dạ,vững_tâm,SYN,ADJ,vững_dạ
chất_ngất,ngất_nghểu,SYN,ADJ,ngất_nghểu
quỷ_quái,tai_ác,SYN,ADJ,tai_ác
ám_muội,minh_bạch,ANT,ADJ,ám_muội
chếnh_choáng,chuếnh_choáng,SYN,ADJ,chuếnh_choáng
chí_tử,trí_mạng,SYN,ADJ,trí_mạng
le_te,xăng_xái,SYN,ADJ,le_te
ngang_ngược,ngạo_ngược,SYN,ADJ,ngạo_ngược
mẫm,mập,SYN,ADJ,mẫm
om,rùm,SYN,ADJ,rùm
lỏng_chỏng,lơ_thơ,SYN,ADJ,lỏng_chỏng
tối_dạ,sáng_dạ,ANT,ADJ,tối_dạ
giảo_hoạt,xảo_quyệt,SYN,ADJ,giảo_hoạt
dày_cộp,mỏng_tanh,ANT,ADJ,mỏng_tanh
xấc,xấc_xược,SYN,ADJ,xấc
mát_rợi,mát_rượi,SYN,ADJ,mát_rợi
khoáng_đãng,thoáng_đãng,SYN,ADJ,khoáng_đãng
lờ_mờ,lù_mù,SYN,ADJ,lù_mù
vắng_teo,nhộn_nhịp,ANT,ADJ,vắng_teo
hách_dịch,hách,SYN,ADJ,hách
phệ,phị,SYN,ADJ,phị
gầy_đét,gầy_guộc,SYN,ADJ,gầy_đét
xúi_quẩy,xui,SYN,ADJ,xúi_quẩy
tạp_nhạp,tạp_nham,SYN,ADJ,tạp_nhạp
ngoằn_ngoèo,ngoắt_ngoéo,SYN,ADJ,ngoắt_ngoéo
mướt,tướt,SYN,ADJ,tướt
chây_lười,siêng_năng,ANT,ADJ,chây_lười
bợt,nhợt,SYN,ADJ,bợt
chăm_chắm,chằm_chặp,SYN,ADJ,chăm_chắm
loạng_choạng,loạng_quạng,SYN,ADJ,loạng_quạng
gian_xảo,man_trá,SYN,ADJ,man_trá
thanh_tĩnh,u_tịch,SYN,ADJ,thanh_tĩnh
ướt_sũng,ướt_đầm,SYN,ADJ,ướt_đầm
thâm,thâm_hiểm,SYN,ADJ,thâm_hiểm
đểu_cáng,đểu_giả,SYN,ADJ,đểu_cáng
tùm,ùm,SYN,ADJ,tùm
đê_tiện,hạ_tiện,SYN,ADJ,hạ_tiện
bẩn_thỉu,dơ_dáy,SYN,ADJ,dơ_dáy
thường_kì,bất_thường,ANT,ADJ,thường_kì
biếng_nhác,chăm_chỉ,ANT,ADJ,biếng_nhác
khấp_khểnh,bằng_phẳng,ANT,ADJ,khấp_khểnh
đìu_hiu,quạnh_hiu,SYN,ADJ,quạnh_hiu
thanh_tĩnh,thanh_vắng,SYN,ADJ,thanh_tĩnh
hiểm_yếu,trọng_yếu,SYN,ADJ,hiểm_yếu
bóng_lộn,bóng_nhoáng,SYN,ADJ,bóng_nhoáng
bất_nghĩa,bội_bạc,SYN,ADJ,bất_nghĩa
tướt,sượt,SYN,ADJ,tướt
quái_quỉ,quái_quỷ,SYN,ADJ,quái_quỉ
gian_giảo,thật_thà,ANT,ADJ,gian_giảo
giảo_quyệt,quỉ_quyệt,SYN,ADJ,"giảo_quyệt,quỉ_quyệt"
ranh,tinh_ma,SYN,ADJ,tinh_ma
gớm_ghiếc,gớm_guốc,SYN,ADJ,gớm_guốc
đồng_chất,đồng_tính,SYN,ADJ,đồng_chất
lạt_lẽo,mặn_mà,ANT,ADJ,lạt_lẽo
tợn,thiện,ANT,ADJ,tợn
dong_dỏng,thon_thả,SYN,ADJ,dong_dỏng
tươm,tướp,SYN,ADJ,tướp
mập,ngẳng,ANT,ADJ,ngẳng
