sentence_id,reference,TensorFlow NMT_hypothesis,PyTorch Transformer_hypothesis,TensorFlow NMT_sentence_chrfpp,PyTorch Transformer_sentence_chrfpp,chrfpp_difference_TensorFlow NMT_minus_PyTorch Transformer,winner
249,và chính mối đe doạ của khủng bố định hình nên cuộc sống của họ .,Đó là mối đe doạ của nỗi sợ hãi của họ .,đó là mối đe doạ của khủng bố định hình lại cuộc sống của họ.,32.106279954918804,75.42113245843628,-43.31485250351747,PyTorch Transformer
3,Nó là một trò chơi ghép hình vẫn đang được xếp .,Đó là một câu hỏi của một câu hỏi .,nó là một trò chơi xếp hình vẫn được sắp xếp lại với nhau.,15.583834290084726,58.72798206340871,-43.144147773323986,PyTorch Transformer
1341,Chúng ta thậm chí còn có nó trong điện thoại .,Chúng ta có thể có thể có được rằng chúng ta có thể có được nó .,chúng ta thậm chí còn có thể & # 91 điện thoại di động & # 93.,23.690044486318936,65.99890244764408,-42.308857961325145,PyTorch Transformer
363,"thì thầm vào tai tôi ,",Và ông ta đã nghe vào tai .,và anh ta thì thầm vào tai của tôi.,24.982090652318398,67.18411827828531,-42.20202762596691,PyTorch Transformer
1487,Điều này đang diễn ra với chúng ta ngày hôm nay .,Đây là điều này xảy ra với chúng ta .,điều này đang diễn ra với chúng ta ngày nay.,45.02970204977312,86.71926058251522,-41.6895585327421,PyTorch Transformer
825,Sự thiếu ngủ vô cùng phổ biến .,Giấc ngủ là sự thay đổi hoàn toàn .,sự thiếu ngủ là hoàn toàn phổ biến.,18.119213873317175,59.68705313218848,-41.5678392588713,PyTorch Transformer
964,Việc kể chuyện đang trở nên ngày càng đa giác quan .,Sự thật là trở thành nhiều hơn nhiều hơn nhiều .,kể chuyện trở nên ngày càng nhiều thông tin đa chiều.,8.973101424223877,50.31990070605139,-41.346799281827515,PyTorch Transformer
1052,Cán cân thời gian mà tôi muốn nhìn vào là cán cân thời gian của sự sống trên Trái Đất .,"Vì vậy , một số lượng mà tôi muốn nhìn vào đây là một lúc về sự sống của cuộc sống .","vì vậy, quy mô thời gian mà tôi muốn nhìn vào đây là quy mô thời gian của sự sống trên trái đất.",32.8922624862313,73.45897105233945,-40.56670856610815,PyTorch Transformer
1314,Xin cảm ơn .,Cảm ơn .,xin cảm ơn.,60.28674307021829,100.0,-39.71325692978171,PyTorch Transformer
277,thích giải trí,Chúng ta yêu trí giải trí .,chúng ta thích giải trí.,44.43661820092394,83.95431634690873,-39.51769814598479,PyTorch Transformer
1496,Kiếm tiền !,Những người này tạo tiền .,những người này kiếm tiền.,16.708117299522673,55.9682507991456,-39.260133499622924,PyTorch Transformer
1029,Nó không phải như vậy .,Nó không phải là di chuyển như vậy .,nó không di chuyển như thế này.,75.09344188233507,36.79236516786559,38.30107671446948,TensorFlow NMT
52,Các trung tâm được thành lập .,Trung tâm được thiết lập .,các trung tâm được thành lập.,62.28859042970689,100.0,-37.71140957029311,PyTorch Transformer
962,Nó biết ta đang ở đâu .,Nó có thể biết chúng ta là gì .,chúng ta có thể biết được chúng ta đang ở đâu.,21.037745225576725,58.530497286480475,-37.492752060903754,PyTorch Transformer
317,Tôi thực sự cho rằng cộng đồng TED cần phải dũng cảm hơn .,Và tôi tin rằng cộng đồng của TED cần nhiều hơn nhiều .,và tôi thực sự tin tưởng rằng cộng đồng ted cần phải có nhiều sự dũng cảm hơn.,39.96375496839811,76.6641118050336,-36.700356836635486,PyTorch Transformer
774,Và tôi quay lại làm việc .,Và tôi quay trở lại .,và tôi quay trở lại làm việc.,46.90974681680123,83.59377218725848,-36.68402537045725,PyTorch Transformer
1025,và chúng không cho chúng ta biết nhiều lắm .,Và họ không nói với chúng ta nhiều .,và họ không cho chúng ta biết nhiều.,33.98644917092957,70.61404094674909,-36.62759177581952,PyTorch Transformer
622,Và bạn thường thấy rằng vấn đề đó khi nó giảm xuống trong danh sách dài của tất cả nguồn tài chính,"Và bạn thường thấy vấn đề khi đến những mục tiêu này , những khoản tiền này .",và bạn thường thấy rằng vấn đề khi nó đi xuống danh sách dài của tất cả những quỹ này.,28.655324434644548,65.00077834495886,-36.34545391031431,PyTorch Transformer
733,Tôi đi qua phòng cấp cứu trên đường về nhà .,Tôi đi qua bộ phận cấp cứu của mình .,tôi đi bộ qua khoa cấp cứu trên đường về nhà.,35.71294500446353,71.734252701184,-36.02130769672048,PyTorch Transformer
931,Đây là một đoạn video ngắn cho thấy những gì chúng tôi đang làm .,Nó chỉ là một video ngắn gọn .,nó chỉ là một đoạn video ngắn về những gì chúng ta làm.,24.31565745348772,60.07442493227671,-35.758767478789,PyTorch Transformer
1461,"Ánh sáng , âm thanh , tấm pin mặt trời , động cơ -- mọi thứ đều có thể tiếp cận được .","Ánh sáng , những tấm hình mặt trời , những động cơ , động cơ , những thứ nên được tiếp cận .","ánh sáng, âm thanh, các tấm năng lượng mặt trời, động cơ tất cả mọi thứ đều có thể tiếp cận được.",42.23258621927646,77.97344438004056,-35.7408581607641,PyTorch Transformer
242,về chủng tộc và về câu hỏi liệu chúng ta có xứng đáng giết họ .,Tôi nói về sự đua và câu hỏi của chúng ta là chúng ta đáng để giết chết .,tôi nói về chủng tộc và câu hỏi này là liệu chúng ta có xứng đáng để giết người.,33.300988878637945,68.98646340851846,-35.685474529880516,PyTorch Transformer
671,"Tốt , cực tốt , có thể là siêu sao .","Tốt , thật sự là một con gián .","tốt, thật sự tốt, có thể là một ngôi sao.",18.08096740593815,53.58747347520399,-35.50650606926584,PyTorch Transformer
871,Đây là biểu đồ thể hiện điều đó khi video này lần đầu tiên trở nên phổ biến vào mùa hè trước .,Đây là một biểu đồ của những gì trông như thế nào khi nó trở thành một cái hè cuối cùng .,đây là biểu đồ về những gì nó trông như thế này khi lần đầu tiên nó trở nên phổ biến vào mùa hè năm ngoái.,20.4563515779735,55.73778601911366,-35.28143444114016,PyTorch Transformer
1343,Một thứ khác nữa là chúng ta biết tất cả các trạm xăng ở đâu .,Một điều nữa là chúng ta biết những trạm xăng dầu là gì .,một điều nữa là chúng ta biết tất cả các trạm xăng ở đâu.,46.492111229782736,81.76787283421221,-35.275761604429476,PyTorch Transformer
78,"Có một nguồn năng lượng ngoài đó , một niềm lạc quan khôn nguôi , một sự pha trộn kì lạ của sự khiêm nhường và liều lĩnh .","Có một sự lạc quan , một sự lạc quan , một sự lạc quan , một sự hỗn loạn rất lạ lùng và sự thật .","có một nguồn năng lượng, một sự lạc quan, một sự pha trộn lạ lùng của sự khiêm nhường và táo bạo.",23.67634578427653,58.392498381200184,-34.71615259692365,PyTorch Transformer
603,Điều nhỏ chúng tôi thêm vào đó là chúng tôi yêu cầu mọi người chỉ nghĩa về những điều tích cực sẽ xảy ra trong tương lai của họ nếu họ tiết kiệm hơn nữa,Một điều nữa chúng tôi đã được đặt ra là chúng ta hỏi mọi người nghĩ về những điều tích cực của bạn khi bạn tiết kiệm được những điều tích cực của bạn nếu bạn tiết kiệm nhiều hơn .,một điều nhỏ chúng tôi thêm vào đó là chúng tôi yêu cầu mọi người chỉ nghĩ về những điều tích cực sẽ xảy ra trong cuộc sống của bạn nếu bạn tiết kiệm được nhiều hơn.,41.310294665986724,75.86259643821852,-34.55230177223179,PyTorch Transformer
1361,Vì vậy xin hãy giúp chúng tôi thực hiện điều này và không chỉ để sức khoẻ tốt hơn và còn kiểm soát được nó .,"Vậy nên , xin lỗi chúng ta , cố gắng làm cho chúng ta một chút , và cố gắng làm cho nó không chỉ là một chút , nhưng hãy kiểm soát nó .","vì vậy, hãy giúp chúng tôi trong cuộc thử nghiệm này và cố gắng không chỉ sức khoẻ tốt hơn một chút, mà còn kiểm soát được điều đó.",27.16659827141855,61.40839345074909,-34.24179517933054,PyTorch Transformer
1180,Chúng ta đang ở thời điểm của sự chuyển giao .,Chúng ta đang ở ngay lúc đó .,chúng ta đang ở ngay thời điểm đó của sự chuyển tiếp.,36.07004687074543,70.23458674876885,-34.16453987802342,PyTorch Transformer
1153,Đánh giá lại chúng một lần nữa .,Các em lại lại .,điểm số lại một lần nữa.,10.181669204054442,43.91600751099515,-33.73433830694071,PyTorch Transformer
77,Những khả năng mà trước đây sẽ không được cho phép được khuyến khích rất nhiều .,Sự truyền đạt mà không có được được được sự được khuyến khích .,những khả năng mà sẽ không được cho phép là được khuyến khích vô cùng đáng tin cậy.,31.776719526709513,65.28196347619472,-33.505243949485205,PyTorch Transformer
1279,"Phần lớn mọi người hiểu điều đó , nhưng họ lại nghĩ rằng cái này là đầu vào cho cái kia .",Và hầu hết mọi người đều có thể thấy rằng một là thứ nhất là từ đầu .,"và hầu hết mọi người nhận được điều đó, nhưng họ nghĩ rằng một cái là đầu vào cho người khác.",19.2719678759108,52.54418754355281,-33.272219667642005,PyTorch Transformer
789,Anh phải tiêm thuốc kháng sinh và hồi phục sau vài ngày .,Ông ấy được đặt lên những sinh vật sinh học và ông ấy đã phục hồi sau một vài ngày .,ông ta được đặt trên các loại thuốc kháng sinh được tiêm chủng và hồi phục sau vài ngày.,33.77773345093551,66.47295449641419,-32.69522104547868,PyTorch Transformer
812,Một sự chối bỏ hoàn toàn sai lầm .,Đó là một sự từ chối .,đó là một sự từ chối hoàn toàn của những sai lầm.,23.285494866521024,55.82393790086133,-32.538443034340304,PyTorch Transformer
1534,"Họ đã bán những công cụ này cho chính phủ Ai Cập với giá 280,000 Euros .",Họ đã bán cho những dự án này cho những dự án này .,họ đã bán được công cụ này cho 300 euro cho chính phủ ai cập.,25.970716028597014,58.369846445165926,-32.39913041656891,PyTorch Transformer
1305,Họ sử dụng đôi bàn tay của mình .,Họ đang dùng bàn tay của họ .,họ đang sử dụng đôi tay của mình.,37.92256072471232,69.91355390466782,-31.990993179955503,PyTorch Transformer
619,"Bên trái là Jazz và bên phải là Swing , Nhưng bạn biết điều gì không","Một trong những người bị đánh dấu là những nhạc cổ và một trong những người phải là một sự ưu tú , nhưng bạn biết không ?","cái bên trái là nhạc jazz và cái bên phải là cử động, nhưng bạn biết gì không?",34.40363706807465,66.09652232654317,-31.692885258468515,PyTorch Transformer
131,mà tôi thực sự học được điều này từ bà của mình,Tôi đã học về điều này từ bà tôi .,tôi thực sự đã học được điều này từ bà tôi.,36.65633053608277,68.33463427382952,-31.678303737746752,PyTorch Transformer
371,Mọi người bắt đầu vào phòng vì họ đang rất giận dữ .,Và người ta bắt đầu từ vì họ là những người vô cùng khó khăn .,và mọi người bắt đầu bước vào bởi vì họ cảm thấy rất giận dữ.,27.050495962170423,58.70767074555753,-31.657174783387106,PyTorch Transformer
1108,"Ví dụ như , phiên bản phức tạp nhất chúng ta biết đến là ngôn ngữ của loài người .","Và ví dụ , bản hiện mô hình tính nhất mà chúng ta nhận ra là ngôn ngữ của con người .","ví dụ, phiên bản phức tạp nhất mà chúng ta nhận thức được là ngôn ngữ của loài người.",41.48937040746611,72.98835700695385,-31.498986599487736,PyTorch Transformer
