sentence_id,reference,TensorFlow NMT_hypothesis,PyTorch Transformer_hypothesis,TensorFlow NMT_sentence_chrfpp,PyTorch Transformer_sentence_chrfpp,chrfpp_difference_TensorFlow NMT_minus_PyTorch Transformer,winner
11,Ông là ông của tôi .,Anh ấy là anh tôi .,ông là ông nội của tôi.,22.986986791046757,77.33972197405382,-54.352735183007056,PyTorch Transformer
12,Tôi chưa bao giờ gặp ông ngoài đời .,Tôi chưa bao giờ biết anh ta trong cuộc sống thực .,tôi chưa bao giờ biết anh ấy trong đời thực.,42.64891154762748,47.135658844794435,-4.486747297166957,PyTorch Transformer
13,Nhưng cuộc đời ta nhiều hơn những gì ta lưu trong kí ức nhiều .,Nhưng cuộc sống của chúng ta càng nhiều hơn so với các kỷ niệm của chúng ta .,nhưng cuộc sống của chúng ta còn nhiều hơn những ký ức của chúng ta.,31.274397917410358,41.51062885532751,-10.236230937917153,PyTorch Transformer
14,Bà tôi chưa bao giờ cho phép tôi quên cuộc đời của ông .,Bà tôi chưa bao giờ quên cho mình .,bà tôi không bao giờ để tôi quên cuộc đời của ông ấy.,44.3130581833849,60.76224538873131,-16.449187205346405,PyTorch Transformer
15,"Nhiệm vụ của tôi là không để cuộc đời ấy qua trong vô vọng , và bài học của tôi là nhận ra rằng , vâng , lịch sử đã cố quật ngã chúng tôi , nhưng chúng tôi đã chịu đựng được .","Nhiệm vụ của tôi không phải cho phép nó có thể xảy ra trong những người vô vọng , và bài học của tôi là học được rằng , có lịch sử , chúng ta đã trải qua chúng ta , nhưng chúng ta đã trải qua .","nhiệm vụ của tôi không phải là cho phép nó trở thành vô ích, và bài học của tôi là học được rằng, vâng, lịch sử đã cố gắng khiến chúng ta phá hoại, mà chúng ta phải chịu đựng.",49.60566825503396,50.57295783515568,-0.9672895801217152,PyTorch Transformer
16,Mảnh ghép tiếp theo của tấm hình là một con thuyền trong sớm hoàng hôn lặng lẽ trườn ra biển .,"Phần mềm của một cái thuyền trong thời gian dài , trong vòng một sự kéo dài của một con thuyền .",tác phẩm tiếp theo của bộ phim hoạt hình là của một con thuyền trong bình minh đầu tiên trượt tuyết rơi xuống biển một cách yên lặng.,27.623804469538698,44.00382670114211,-16.380022231603412,PyTorch Transformer
17,"Mẹ tôi , Mai , mới 18 tuổi khi ba của mẹ mất -- đã lập gia đình , một cuộc hôn nhân sắp đặt trước , đã có hai cô con gái nhỏ .","Mẹ tôi , những người đã làm như thế , là 18 khi bố mẹ cô ấy đã chết -- đã có một cuộc hôn nhân nhỏ .","mẹ tôi, vũ khí, 18 tuổi khi bố của bà qua đời, đã có hai cô gái nhỏ.",33.726422763342576,33.09984200893249,0.6265807544100852,TensorFlow NMT
18,"Với mẹ , cuộc đời cô đọng vào nhiệm vụ duy nhất : để gia đình mẹ trốn thoát và bắt đầu cuộc sống mới ở Úc .","Đối với cô ấy , cuộc sống đã được đưa ra trong một nhiệm vụ : sự chạy trốn của cô ấy , sự chạy trốn của cô ấy và một cuộc sống mới ở Úc .","đối với cô ấy, cuộc sống đã được tổ chức một nhiệm vụ để thoát khỏi gia đình và một cuộc sống mới ở úc.",34.602798333297216,42.265873145966935,-7.66307481266972,PyTorch Transformer
19,Mẹ không bao giờ chấp nhận được là mẹ sẽ không thành công .,Nó không thể được cảm thấy được khi cô ấy không thành công .,điều này không thể tưởng tượng được với cô ấy rằng cô ấy sẽ không thành công.,38.73253339319116,41.435097240589016,-2.7025638473978546,PyTorch Transformer
20,"Thế là sau bốn năm , một trường thiên đằng đẵng hơn cả trong truyện , một chiếc thuyền trườn ra biển nguỵ trang là thuyền đánh cá .","Sau đó , sau một ngày nghỉ hưu đã luôn luôn luôn có thể định tưởng , một cái thuyền đã ra khỏi biển .","vì thế sau một năm không ngừng nghỉ việc bất chấp tiểu thuyết hư cấu, một chiếc thuyền bị lật đổ đại dương như một chiếc tàu đánh bắt cá.",18.768941881703586,27.210856393032707,-8.44191451132912,PyTorch Transformer
21,Tất cả những người lớn đều biết các rủi ro .,Tất cả những người lớn biết là sự mạo hiểm .,tất cả những người lớn đều biết được những rủi ro.,54.64112401331247,80.70511558723429,-26.063991573921818,PyTorch Transformer
22,"Nỗi sợ hãi lớn nhất là cướp biển , nạn cưỡng hiếp , và cái chết .","Sự sợ hãi nhất là những người bị thương , hiếp dâm và chết .","nỗi sợ hãi lớn nhất là cướp biển, cưỡng hiếp và cái chết.",29.574908824231017,82.22440618094953,-52.64949735671851,PyTorch Transformer
23,"Như hầu hết người lớn trên thuyền , mẹ tôi mang theo một chai thuốc độc nhỏ .","Như hầu hết những người lớn nhất trên thuyền , mẹ tôi đã mang một chai nhỏ .","giống như hầu hết người lớn trên thuyền, mẹ tôi mang một cái chai độc.",62.25945301620484,69.79421302470735,-7.534760008502509,PyTorch Transformer
24,"Nếu chúng tôi bị bắt , đầu tiên là em tôi và tôi , rồi mẹ và bà sẽ uống .","Nếu chúng ta bị lấy , đầu tiên của tôi , rồi bà ấy đã uống .","nếu chúng tôi bị bắt, đầu tiên tôi và chị tôi, thì bà và bà tôi sẽ uống.",42.22682646988131,65.3774001692069,-23.150573699325584,PyTorch Transformer
25,"Kí ức sớm nhất tôi nhớ được là từ cái thuyền -- tiếng động cơ đều đều , mạn tiền con thuyền chìm vào mỗi đợt sóng , chân trời mênh mông trống trải .","Tôi chỉ là một kỷ niệm đầu tiên từ con tàu , sự đánh đập của động cơ , những chiếc máy bay , cho vào mỗi cơn sóng , và những chân chân không gian .","những ký ức đầu tiên của tôi là từ thuyền và nhịp điệu ổn định của động cơ, cái cung nối vào mỗi làn sóng, đường chân trời khổng lồ và chân trời trống rỗng.",22.889139479298283,29.678955070887085,-6.789815591588802,PyTorch Transformer
26,"Tôi không nhớ lũ cướp biến đã đến rất nhiều lần , nhưng bị lừa bỏ đi bởi sự dũng càm của những người đàn ông trên thuyền , hay là khi máy tàu bị chết và không khởi động được trong suốt sáu tiếng đồng hồ .","Tôi không nhớ những người bị ung thư đến nhiều lần , nhưng là một sự uỷ thác bởi những người , mà là sự cổ hành của những người đàn ông trên con tàu , hay động cơ chết .","tôi không nhớ những tên cướp biển đã đến nhiều lần, nhưng thật sự lừa đảo bởi sự tưởng tượng của những người đàn ông trên thuyền, hay động cơ đang chết dần và thất bại trong vòng sáu giờ đồng hồ.",38.77509957622737,50.68813525047254,-11.913035674245172,PyTorch Transformer
27,"Nhưng tôi nhớ được ánh đèn từ giàn khoan dầu ngoài bờ biển Malaysia và một anh thanh niên đã quỵ ngã rồi qua đời , cái kết của cuộc hành trình là quá sức chịu đựng với anh , và quả táo đầu tiên tôi được nếm , quả táo mà công nhân trên giàn khoan dầu cho tôi ,","Nhưng tôi nhớ là những chiếc đèn trên đường ăn , những người đàn ông và những người bị ám ảnh , cuối cùng là những người bị ám ảnh , cuối cùng , và những người đầu tiên , tôi vừa dành cho tôi bởi những người đàn ông","nhưng tôi nhớ đèn led trên lò nướng từ bờ biển tây dương và chàng trai trẻ sụp đổ và chết, cuộc hành trình kết thúc quá nhiều cho anh ta, và quả táo đầu tiên tôi có vị trí với tôi bởi những người đàn",21.35588658194532,33.37525671494232,-12.019370132996997,PyTorch Transformer
28,Không có quả táo nào ngon được đến thế .,Không có gì cả một chút .,không quả táo nào từng được uống cũng như vậy.,21.20019070140296,40.70574180879611,-19.505551107393153,PyTorch Transformer
29,"Sau ba tháng trong trại tị nạn tập trung , chúng tôi đặt chân tới Melbourne .","Sau 3 tháng , chúng tôi đã hạ cánh ở trên Twitter .","sau 3 tháng ở trại tị nạn, chúng tôi đã hạ cánh ở greenland.",27.21803343139652,35.76840507700519,-8.55037164560867,PyTorch Transformer
30,"Và mảnh ghép tiếp theo của bức tranh là về bốn người phụ nữ , ba thế hệ cùng nhau định hình cuộc sống mới .",Và đoạn phim tiếp theo là khoảng 4 phụ nữ trên 3 thế hệ đã tạo ra một cuộc sống mới .,và tác phẩm tiếp theo của bộ phim hoạt hình là khoảng bốn phụ nữ trên ba thế hệ mới tạo ra một cuộc sống mới.,32.51128352018646,42.76048916283367,-10.249205642647212,PyTorch Transformer
31,"Chúng tôi định cư ở Footscray , vùng ngoại ô cho dân lao động trong đó dân số là các tầng lớp người nhập cư .","Chúng ta đã định vị trong những người làm công việc , một ngoại giao có thể sống ở những lớp người dân cư dân .","chúng tôi đã thử nghiệm trên vỏ bọc, một lớp ngoại ô làm việc với nhân khẩu học là các lớp người nhập cư.",30.334870007444287,35.71219507343791,-5.377325065993624,PyTorch Transformer
32,"Không như những vùng ngoại ô ổn định cho giai cấp trung lưu , mà tôi không hề biết là có tồn tại , chẳng có tí quyền lợi nào ở Footscray .","Không giống như những ngoại ô ở trung lưu , mà sự tồn tại của chúng ta là sự thay đổi của mình , không có ý nghĩa về sự thống trị trong các môn hợp tác .","không giống như các vùng ngoại ô ổn định, mà sự tồn tại của tôi đã không nhìn thấy được, không có sự chấp nhận nào trong việc sử dụng ma trận này.",36.12377320510581,35.13612565628774,0.9876475488180745,TensorFlow NMT
33,Mùi từ các cửa hàng đến từ khắp thế giới .,Những dấu vết từ cửa hàng của các cửa hàng trên thế giới .,mùi hương từ cửa hàng của thế giới là từ phần còn lại của thế giới.,45.96077207652666,40.634735954038206,5.326036122488453,TensorFlow NMT
34,"Và những mảnh tiếng Anh đứt quãng trong cuộc hội thoại giữa những con người có duy một điểm chung , họ đang bắt đầu lại từ đầu .","Và những đoạn phim của nó là sự trao đổi giữa những người có một thứ chung , họ bắt đầu lại một lần nữa .","và những đoạn phân của tiếng anh này được trao đổi giữa những người có một điểm chung, họ bắt đầu một lần nữa.",36.9302570443483,44.51270508872936,-7.58244804438106,PyTorch Transformer
35,"Mẹ tôi làm việc trong trang trại , rồi trong dây chuyền sản xuất ô tô , làm việc tuần sáu ngày , hai ca .","Mẹ tôi làm việc với những nhà nông nghiệp , sau đó một chiếc xe lắp ráp , làm việc 6 ngày , gấp đôi , gấp đôi .","mẹ tôi làm việc trên những trang trại, sau đó trên dây chuyền lắp ráp xe, làm việc 6 ngày, gấp đôi thay đổi.",29.932210320208814,48.84220279464056,-18.90999247443175,PyTorch Transformer
36,Thế mà mẹ vẫn kiếm ra thời gian học tiếng Anh và lấy bằng công nghệ thông tin .,Khi mà cô ấy tìm thấy một khi nghiên cứu tiếng Anh và sự truyền đạt thông tin .,"bằng cách nào đó, cô ấy tìm được thời gian để nghiên cứu tiếng anh và đạt được khả thi.",31.598946931763816,31.35558276234888,0.2433641694149351,TensorFlow NMT
37,Chúng tôi rất nghèo .,Chúng ta là người nghèo .,chúng tôi rất nghèo.,44.158644249099744,100.0,-55.841355750900256,PyTorch Transformer
38,"Từng đồng tiền đều được cân nhắc và tiền học thêm tiếng Anh và toán được đặt riêng ra bất kể việc khoản nào phải trừ bớt đi , thường thì đó là quần áo mới ; quần áo chúng tôi lúc nào cũng là đồ cũ .","Tất cả những gì tiền được chia sẻ và làm việc với tiếng Anh , và toán học là sự thật sự được thừa hưởng cho bất kỳ điều gì mà còn được bỏ đi , mà còn là những kẻ mới","tất cả những đô la được phân bổ và thêm vào trong tiếng anh và toán học là ngân sách cho bất chấp những gì đã bỏ qua, thường là những bộ quần áo mới mà họ luôn luôn là những con dao.",23.42370844753171,28.1478733043737,-4.724164856841991,PyTorch Transformer
39,"Hai đôi tất để đi học , mỗi đôi để che lỗ thủng trên đôi kia .","Hai cặp cây trong trường , mỗi người để giấu những lỗ hổng trong những người khác .","hai cặp lưới dành cho trường học, mỗi cái để che giấu những cái lỗ ở bên kia.",17.537709437963617,30.72687601072936,-13.189166572765743,PyTorch Transformer
40,"Một bộ đồng phục dài tới mắt cá , vì phải dành mặc đến sáu năm .","Một cuộc đồng phục ở một trường hợp , vì nó phải đến trong 6 năm qua .","một bộ đồng phục xuống với đôi mắt cá, bởi vì nó đã phải mất 6 năm qua.",28.75101825474491,42.95229386420336,-14.201275609458452,PyTorch Transformer
41,"Thỉnh thoảng , dù ít , tôi nghe thấy tràng chế giễu xé lòng &quot; đồ mắt hí &quot; và thỉnh thoảng có hình vẽ trên tường : &quot; Lũ châu Á , cút về nhà . &quot;","Và có một người đã chết vì những người đã chết &quot; và những người trên đường &quot; và những bức tranh của những người &quot; &quot; Á , &quot;","và có những câu chuyện hiếm hoi nhưng những đoạn trích của & quot đôi mắt & quot và những thứ bất ngờ & quot ở châu á, về nhà. & quot",27.248793022441024,27.75617118000899,-0.5073781575679668,PyTorch Transformer
42,Về nhà ở đâu ?,Hãy đi về nhà để làm gì ?,về nhà ở đâu?,30.13186804241904,100.0,-69.86813195758096,PyTorch Transformer
43,Có chút gì cứng lại trong tôi .,Một số người đã làm gì trong tôi .,điều gì đó khắc nghiệt nhất bên trong tôi.,36.160352826208936,35.11316985501768,1.0471829711912548,TensorFlow NMT
44,"Niềm quyết tâm tụ lại và một giọng lặng lẽ nói , &quot; Tôi sẽ đi vòng qua mọi trở ngại . &quot;","Có một sự tập trung về sự giải quyết và một giọng nói tạm tĩnh , &quot; Tôi sẽ vượt qua bạn . &quot;","đã có một cuộc họp để giải quyết và một giọng nói i mại lặng nói rằng, & quot tôi sẽ vượt qua bạn. & quot",42.491731645152846,37.6814962322332,4.810235412919646,TensorFlow NMT
45,"Mẹ tôi , em gái và tôi ngủ chung trên một chiếc giường .","Mẹ tôi , em gái của tôi , tôi và tôi ngủ trong cùng một chiếc giường .","mẹ tôi, chị gái tôi và tôi ngủ trong cùng một chiếc giường.",68.48803398656662,61.183458492060005,7.304575494506615,TensorFlow NMT
46,"Mẹ tôi tối nào cũng kiệt sức , nhưng chúng tôi kể cho nhau nghe chuyện trong ngày và nghe tiếng bà tôi đi lại quanh nhà .","Mẹ tôi đã bị cuốn vào mỗi đêm , nhưng chúng tôi đã kể một chút về một cách khác nhau về ngày hôm qua của mình và lắng nghe những phong trào của bà tôi xung quanh nhà .","mẹ tôi đã kiệt sức mỗi đêm, nhưng chúng tôi đã nói một điều khác về ngày của chúng tôi và lắng nghe những phong trào của bà tôi xung quanh ngôi nhà.",38.38559855308726,40.706515939222506,-2.3209173861352426,PyTorch Transformer
47,Mẹ tôi bị bao nhiêu ác mộng về chiếc thuyền .,Mẹ tôi đã bị ám ảnh từ những người gây rối loạn .,mẹ tôi chịu đựng những cơn ác mộng từ những người thuyền.,18.20256757194205,35.76591122327598,-17.563343651333927,PyTorch Transformer
48,Nhiệm vụ của tôi là thức đến khi mẹ bị ác mộng hành hạ để gọi mẹ dậy .,Và công việc của tôi là tôi đang tỉnh dậy để cảm nhận mình đến nỗi đau đớn của cô ấy .,và công việc của tôi là thức tỉnh cho đến khi những cơn ác mộng đến nỗi tôi có thể đánh thức cô ấy.,24.08340519537586,35.83138387868024,-11.747978683304382,PyTorch Transformer
49,Mẹ mở cửa hàng máy tính rồi học nghề chuyên viên thẩm mĩ và mở một cơ sở kinh doanh khác .,"Cô ấy mở một cửa hàng máy tính , để nghiên cứu được là một sự sinh viên và mở rộng một sự kinh doanh khác .",cô ấy mở một cửa hàng máy tính sau đó nghiên cứu để trở thành một món quà và mở ra một công việc kinh doanh khác.,47.759618864814115,46.14116305638524,1.6184558084288767,TensorFlow NMT
50,"Và rồi bao người phụ nữ đến kể câu chuyện của họ về những gã đàn ông không thể hoà nhập với cuộc sống mới , giận dữ và cứng nhắc , và những đứa trẻ bấn loạn giữa hai thế giới .","Và phụ nữ đến với những câu chuyện của họ về những người không thể làm được sự thay đổi , tức giận và sự thật , và sự thật , và sự thật , và sự thật , và sự thật , và sự thật , và sự thật , và sự thật .","và những người phụ nữ đến với những câu chuyện của họ về nam giới những người không thể làm cho sự chuyển tiếp, giận dữ và cứng nhắc, và những đứa trẻ khó chịu bắt được giữa hai thế giới.",32.75200148718571,60.55369760518251,-27.801696117996805,PyTorch Transformer
51,Chúng tôi kiếm tìm trợ cấp và những nhà tài trợ .,Người ta đã bị tìm hiểu .,tài trợ và các nhà tài trợ đã tìm kiếm.,7.821920887110707,35.50590256457181,-27.683981677461105,PyTorch Transformer
52,Các trung tâm được thành lập .,Trung tâm được thiết lập .,các trung tâm được thành lập.,62.28859042970689,100.0,-37.71140957029311,PyTorch Transformer
53,Tôi sống trong hai thế giới song song .,Tôi sống trong những thế giới tương tự .,tôi sống trong những thế giới song song.,52.8476890825478,80.25548166022698,-27.407792577679174,PyTorch Transformer
54,"Trong một thế giới , tôi là học sinh gốc Á điển hình , đòi hỏi khắc nghiệt từ chính mình .","Trong một , tôi là một sinh viên ở châu Á , không thể trong yêu cầu tôi đã làm được bản thân mình .","trong một nghiên cứu, tôi là sinh viên châu á cổ điển, không ngừng lại với những đòi hỏi tôi đã tự mình làm.",27.253379658601013,33.850026521866894,-6.596646863265882,PyTorch Transformer
55,"Trong thế giới kia , tôi vướng mắc trong những mảnh đời bấp bênh , bị tổn thương bi thảm vì bạo lực , nghiện ngập và cô quạnh .","Ở những người khác , tôi đã làm được sự sống trong cuộc sống của mình , là sự tự do , sự tự do bởi bạo lực , bằng cách phục hồi và sự độc lập .","ở một nơi khác, tôi có mạng lưới trong cuộc sống, đó là một cái ác mộng nguy hiểm bởi bạo lực, ma tuý, lạm dụng và cô lập.",21.15091893309306,20.669404801879566,0.48151413121349407,TensorFlow NMT
56,Nhưng qua năm tháng rất nhiều em đã được giúp đỡ .,Nhưng nhiều trong những năm qua được giúp đỡ .,nhưng rất nhiều năm qua đã được giúp đỡ.,45.67047841936906,63.10139955736881,-17.430921137999746,PyTorch Transformer
57,"Và vì công tác đó , khi tôi là sinh viên luật năm cuối , tôi được bầu là Thanh niên Úc của năm .","Và vì thế , khi tôi là một sinh viên cuối cùng , khi tôi là một sinh viên trẻ , tôi đã chọn được như thế này .","và với công việc đó, khi tôi còn là một sinh viên năm cuối cùng, tôi đã được chọn như một người úc gốc úc năm nay.",34.95230374424938,40.37202266030842,-5.41971891605904,PyTorch Transformer
58,"Và tôi bị phóng từ mảnh ghép xếp hình này sang mảnh khác , nhưng chúng không ghép vừa với nhau .","Và tôi đã được truyền bá từ một trong những chiếc máy chơi khác nhau , và những bên cạnh của họ không phù hợp .","và tôi đã được phóng ra từ một mảnh ghép từ một mẫu hộp này sang một bên khác, và các cạnh của chúng không phù hợp với nhau.",21.48561218550495,45.60104183600434,-24.11542965049939,PyTorch Transformer
59,"Tan Le , cư dân vô danh ở khu Footscray , giờ là Tan Le , người tị nạn và hoạt động xã hội , được mời nói chuyện ở các địa điểm cô chưa bao giờ nghe tới được mời vào những nhà mà cô chưa bao giờ tưởng tượng được là có tồn tại .","Goldman Turing , những người vô danh cổ địa , giờ là bây giờ là Jesse Owens , người tị nạn và nhà hoạt động xã hội , mời đến nói chuyện với các bạn biết về và vào nhà của họ","tan tan vỡ của tan chảy, những người ẩn danh, bây giờ đã tan tan tan tan chảy, tị nạn và nhà hoạt động xã hội, được mời đến nói chuyện ở những nơi mà bà chưa từng nghe đến và vào nhà mà",35.076179962343055,35.020136281125524,0.056043681217531116,TensorFlow NMT
60,Tôi không biết các qui trình .,Tôi không biết về công thức .,tôi không biết các phương thức này.,47.641366246451085,58.20162757610162,-10.560261329650537,PyTorch Transformer
61,Tôi không biết cách dùng thìa dĩa .,Tôi không biết cách sử dụng sự kiện .,tôi không biết làm thế nào để sử dụng những thứ ngón cái.,54.301347213025316,39.47867710878128,14.82267010424404,TensorFlow NMT
62,Tôi không biết nói chuyện về rượu .,Tôi không biết được gì về rượu .,tôi không biết làm thế nào để nói về rượu.,58.63130279233355,59.425243823829376,-0.7939410314958266,PyTorch Transformer
63,Tôi không biết nói về cái gì hết .,Tôi không biết cách nói về mọi thứ .,tôi không biết làm thế nào để nói về bất cứ điều gì.,53.43201151345889,51.016897114175364,2.4151143992835244,TensorFlow NMT
64,"Tôi muốn rút về cái lề thói hàng ngày và sự dễ chịu của cuộc sống trong khu ngoại ô không ai hay biết -- người bà , người mẹ và hai con gái kết thúc mỗi ngày như bao ngày trong suốt 20 năm , kể cho nhau nghe chuyện trong ngày rồi thiếp ngủ , ba người chúng tôi vẫn chung một giường .","Tôi muốn vượt qua các chương trình và sự an ủi của cuộc sống trong một người ngoại quốc , một bà mẹ , một người mẹ , một người mẹ và hai con gái của họ là họ có khoảng 20 năm , kể chuyện với một câu chuyện khác nhau của họ và im lặng","tôi muốn rút lui tới các chương trình và sự thoải mái của cuộc sống ở một vùng ngoại ô, một bà mẹ, một người mẹ và hai đứa con gái kết thúc mỗi ngày, khi chúng gần 20 năm, kể một câu chuyện",33.37677431708922,36.23811242916359,-2.861338112074371,PyTorch Transformer
65,Tôi bảo mẹ là tôi không thể làm được .,Tôi bảo mẹ mình không thể làm được .,tôi nói với mẹ tôi rằng tôi không thể làm được điều đó.,72.50230764999846,57.911831471105856,14.590476178892601,TensorFlow NMT
66,Mẹ nhắc tôi là bấy giờ tôi cũng bằng tuổi mẹ khi chúng tôi lên thuyền .,Cô ấy nhắc nhở tôi rằng tôi đang ở đó một tuổi mà chúng tôi đã từng đến khi chúng ta đã lên đến con cái .,cô ấy nhắc tôi rằng tôi đã ở cùng tuổi cô ấy khi chúng tôi mới lên thuyền.,32.579246432140515,50.73437192181477,-18.155125489674255,PyTorch Transformer
67,Nói &apos; không &apos; chưa bao giờ là một lựa chọn .,Không bao giờ là một lựa chọn .,không bao giờ là một sự lựa chọn.,51.12815044082074,44.70875718555268,6.419393255268062,TensorFlow NMT
68,"&quot; Cứ làm đi , &quot; mẹ nói , &quot; và đừng cố trở thành người khác . &quot;","&quot; Chỉ vậy , &quot; Cô ấy nói , &quot; Và không phải là những gì bạn không phải . &quot;","& quot chỉ làm được thôi, & quot cô ấy nói, & quot và không phải là những gì cô không làm. & quot",45.0735630906146,37.26713248308139,7.806430607533208,TensorFlow NMT
69,"Thế là tôi nói về nạn thanh niên thất nghiệp và giáo dục , và về những người bị xã hội cách li , bị mất quyền lợi và bỏ rơi .","Tôi đã nói ra trên những người trong cuộc sống , và giáo dục và sự thiếu thốn của sự kết thúc và sự làm người .","tôi đã nói chuyện với những thất nghiệp trẻ tuổi và giáo dục, và những người bị bỏ quên đi bởi những người không có tiếng nói.",25.652331023668516,37.07214179939998,-11.419810775731463,PyTorch Transformer
70,"Và tôi càng nói thật lòng , tôi càng được mời nói nhiều .","Và càng nhiều hơn nữa , tôi đã hỏi , tôi đã hỏi được .","và sự thẳng thắn mà tôi nói, càng nhiều tôi được hỏi để diễn thuyết.",26.967425478253553,30.194242023603014,-3.226816545349461,PyTorch Transformer
71,"Tôi gặp những người từ mọi tầng lớp xã hội , rất nhiều người đang làm việc họ yêu thích , sống tại ranh giới của cơ hội .","Tôi gặp mọi người từ mọi người đi bộ , vì vậy nhiều người làm việc trong những người làm việc , rất nhiều người làm việc cho họ , sống trên giới hạn của khả năng .","tôi đã gặp nhiều người từ tất cả những cuộc đời, rất nhiều người trong số họ làm những việc họ yêu thương, sống trên những giới hạn về khả năng.",44.96303925540205,42.835285812997135,2.1277534424049165,TensorFlow NMT
72,"Và dù tôi tốt nghiệp , tội nhận ra rằng tôi không thể yên phận trong nghề luật .","Và thậm chí tôi đã hoàn thành mức độ của mình , tôi nhận ra rằng mình không thể định được gì trong một việc trong một luật pháp .","và mặc dù tôi hoàn thành bằng cấp độ của mình, tôi nhận ra rằng tôi không thể sắp xếp thành một sự nghiệp trong luật.",36.28645369955034,50.84464698569039,-14.558193286140046,PyTorch Transformer
73,Bức xếp hình cần một mảnh nữa .,Có một phần của một loại nhạc .,phải có một mảnh ghép khác trong hộp xếp hình.,13.70223978919631,39.82692499542962,-26.12468520623331,PyTorch Transformer
