sentence_id,reference,TensorFlow NMT_hypothesis,PyTorch Transformer_hypothesis,TensorFlow NMT_sentence_chrfpp,PyTorch Transformer_sentence_chrfpp,chrfpp_difference_TensorFlow NMT_minus_PyTorch Transformer,winner
11,Vì đó là lần đầu tiên tôi biết rằng đồng bào của tôi đang phải chịu đựng như vậy .,Đây là lần đầu tiên tôi nghe thấy rằng mọi người trong đất nước của mình là những người bị mắc kẹt .,đây là lần đầu tiên tôi nghe thấy người dân ở đất nước tôi đang chịu đựng.,32.050518466136694,42.04294925231625,-9.992430786179554,PyTorch Transformer
12,"Không lâu sau đó , khi tôi đi qua một nhà ga , tôi nhìn thấy một cảnh tượng kinh hoàng mà tôi không bao giờ có thể quên","Ngay sau đó , khi tôi đi qua một trạm hoả , tôi thấy một thứ gì đó tồi tệ mà tôi không thể xoá bỏ từ ký ức của mình .","ngay sau đó, khi tôi đi qua một trạm xe lửa, tôi thấy một điều tồi tệ mà tôi không thể xoá bỏ ký ức của mình.",42.638789841530816,42.8859168737169,-0.24712703218608567,PyTorch Transformer
13,Trên nền nhà ga là xác chết của một người đàn bà hai tay vẫn đang ôm một đứa bé hốc hác và đứa bé chỉ biết nhìn chằm chằm vào khuôn mặt của mẹ nó .,"Một người phụ nữ sống ở trên mặt đất , khi một đứa trẻ trong tay của cô ấy chỉ nhìn thấy những người đợi trong mặt của ông .","một người phụ nữ không sống ở trên mặt đất, trong khi có một đứa trẻ yếu đuối nhìn chằm chằm vào việc không thể chịu đựng được khi đối mặt với mẹ của mình.",23.36778752751797,29.224993778329615,-5.857206250811647,PyTorch Transformer
14,"Nhưng không có ai giúp họ , bởi vì tất cả đều đang phải lo cho chính mình và cả gia đình .","Nhưng không ai giúp họ , vì chúng là tập trung vào việc chăm sóc bản thân mình và gia đình của họ .","nhưng không ai giúp họ, bởi vì họ rất tập trung vào việc chăm sóc bản thân và gia đình họ.",39.65385156470426,42.238580148056556,-2.5847285833522946,PyTorch Transformer
15,"Vào giữa những năm 90 , Bắc Triều Tiên trải qua một nạn đói trầm trọng .",Một sự thiệt hại lớn lao động ở Bắc Triều .,một nạn đói khổng lồ gây ra bắc triều tiên ở giữa những năm 1990.,17.251505512890873,50.469842252892725,-33.21833674000185,PyTorch Transformer
16,"Nó khiến hơn một triệu người Triều Tiên chết trong nạn đói , và nhiều người chỉ sống sót phải ăn cỏ , sâu bọ và vỏ cây .","Cuối cùng , hơn một triệu người dân cư dân đã chết trong quá khứ , và rất nhiều người chỉ sống sót qua cỏ , côn trùng và cây trứng .","cuối cùng, hơn một triệu người bắc triều tiên chết trong suốt thời kỳ nạn đói, và rất nhiều người chỉ sống sót qua ăn cỏ, côn trùng và cây cối.",48.33054989258487,62.7305787870704,-14.40002889448553,PyTorch Transformer
17,"Việc cúp điện ngày càng xảy ra thường xuyên , vì thế mọi thứ xung quanh tôi đều chìm vào bóng tối khi đêm đến ngoại trừ ánh sáng đèn từ phía Trung Quốc chỉ cách nhà tôi một con sông .","Các luồng kết nối với sự gia tăng lớn hơn nhiều hơn , vì vậy mọi thứ xung quanh tôi là một trong những thứ tối tăm trong đêm , vì vì những gì xung quanh","sự mất điện cũng trở nên thường xuyên hơn, nên mọi thứ xung quanh tôi đều hoàn toàn tối tăm, ngoại trừ ánh sáng biển, ở trung quốc, qua sông từ nhà của tôi.",24.99255262104994,41.92761025059651,-16.93505762954657,PyTorch Transformer
18,Tôi lúc nào cũng tự hỏi là tại sao họ lại có điện còn chúng tôi thì không .,"Tôi luôn tự hỏi tại sao họ có đèn , nhưng chúng ta không phải .",tôi luôn tự hỏi tại sao họ lại có ánh sáng nhưng chúng tôi không làm vậy.,34.760012428992184,45.70081521564689,-10.940802786654707,PyTorch Transformer
19,Đây là một bức ảnh từ vệ tinh chụp Bắc Triều Tiên vào ban đêm trong tương quan với các nước xung quanh .,Đây là một bức ảnh vệ tinh cho thấy Bắc Triều tiên ở trong đêm so với hàng xóm .,đây là một bức ảnh vệ tinh cho thấy bắc triều tiên khi so sánh với hàng xóm.,43.96516644833994,40.49222358248462,3.472942865855323,TensorFlow NMT
20,Đây là sông Áp Lục nó là biên giới tự nhiên giữa Bắc Triều Tiên và Trung Quốc .,"Đây là một dòng sông của hàng đầu , sự giúp đỡ như một phần của biên giới giữa Bắc Triều Tiên và Trung Quốc .","đây là dòng sông amazon, được phục vụ như là một phần của biên giới giữa bắc triều tiên và trung quốc.",57.674517721033105,59.39082347370982,-1.7163057526767176,PyTorch Transformer
21,Có thể thấy là lòng sông có đoạn rất hẹp vì thế một số người Bắc Triều Tiên bí mật vượt sang Trung Quốc .,"Như bạn có thể thấy , con sông có thể rất cao ở một số điểm nhất định , cho phép họ có thể vượt qua được .","như các bạn có thể thấy, dòng sông có thể rất ít liên quan đến một số điểm nhất định, cho phép người hàn quốc ở bắc triều tiên tham gia một cách bí mật.",25.833466491472766,42.246919530649926,-16.41345303917716,PyTorch Transformer
22,Nhưng rất nhiều người đã chết .,Nhưng nhiều người chết .,nhưng có rất nhiều người chết.,56.38141797180698,67.6222473178995,-11.24082934609251,PyTorch Transformer
23,Và tôi đã nhìn thấy xác họ nổi trên sông .,"Đôi khi , tôi thấy những cơ thể chết lên xuống .","đôi khi, tôi nhìn thấy xác người chết trôi chảy xuống sông.",18.00799251152074,40.28029280894176,-22.27230029742102,PyTorch Transformer
24,Tôi không thể nói cụ thể về việc mình đã trốn khỏi Bắc Triều Tiên như thế nào chỉ có thể nói rằng trong những năm tháng khốn khó vì nạn đói ấy tôi được gửi sang Trung Quốc để sống với một người họ hàng xa .,"Tôi không thể tiết lộ nhiều chi tiết &#91; cách tôi bỏ Bắc Mỹ , nhưng tôi chỉ có thể nói rằng trong những năm xấu xa của nạn đói Tôi bị gửi tới Trung Quốc để sống xa với những người thân","tôi không thể tiết lộ nhiều chi tiết về cách tôi rời bắc triều tiên, nhưng tôi chỉ có thể nói rằng trong những năm tồi tệ của nạn đói mà tôi được gửi đến trung quốc để sống với những người thân xa xôi.",42.129750217775566,52.130666705163705,-10.000916487388139,PyTorch Transformer
25,"Lúc đó , tôi chỉ nghĩ rằng mình sẽ phải xa gia đình một thời gian ngắn .",Nhưng tôi chỉ nghĩ rằng tôi sẽ bị tách khỏi gia đình của mình một lần ngắn ngủi .,nhưng tôi chỉ nghĩ rằng mình sẽ bị tách biệt khỏi gia đình mình trong một khoảng thời gian ngắn.,45.38259294058313,61.03032666195626,-15.647733721373129,PyTorch Transformer
26,chứ không bao giờ tôi có thể tưởng tượng rằng tôi sẽ phải xa họ những 14 năm ròng .,Tôi có thể không thể tưởng tượng rằng nó sẽ mang đến 14 năm để sống với nhau .,tôi có thể chưa bao giờ tưởng tượng được rằng nó sẽ mất 14 năm để sống cùng nhau.,44.38863203956662,40.57834423447783,3.810287805088791,TensorFlow NMT
27,"Ở Trung Quốc , cuộc sống của một cô bé bị cách ly khỏi gia đình như tôi rất khó khăn .","Ở Trung Quốc , nó là một cô gái trẻ không bao giờ mà không có gia đình của tôi .","ở trung quốc, thật khó khăn khi còn là một cô gái trẻ mà không có gia đình tôi.",34.73977014184101,40.5034992775072,-5.763729135666196,PyTorch Transformer
28,"Tôi đã không tưởng được những gì xảy đến với cuộc sống của một người tị nạn từ Bắc Triều Tiên thì sẽ như thế nào , nhưng tôi sớm nhận ra rằng nó không những rất khó khăn , mà còn vô cùng nguy hiểm , vì những người tị nạn từ Bắc Triều Tiên vào Trung Quốc đều bị coi là dân nhập cư trái phép .","Tôi không biết sự sống của cuộc sống như là một người tị nạn của người Mỹ , nhưng tôi đã học được nó không chỉ là những gì khó khăn , nhưng cũng rất nguy hiểm , kể từ những người tị nạn của người dân Mỹ đang bị","tôi không biết cuộc sống sẽ như thế nào như một người tị nạn bắc triều tiên, nhưng tôi nhanh chóng nhận ra rằng nó không chỉ cực kỳ khó khăn, nó cũng rất nguy hiểm, bởi những người tị nạn bắc hàn quốc được",38.38224934994919,46.136868653385434,-7.754619303436243,PyTorch Transformer
29,"Tôi luôn sống trong một nỗi sợ thường trực rằng danh tính của tôi sẽ bị phát hiện , và tôi sẽ bị trả về với cuộc sống cũ ở Bắc Triều Tiên .","Tôi đang sống trong sự sợ hãi của mình rằng bản thân tôi có thể được tiết lộ , và tôi sẽ là một số phận để làm được một số phận kinh khủng về phía Bắc .","tôi đang sống trong sự sợ hãi liên tục rằng danh tính của tôi có thể được tiết lộ, và tôi có thể đang ẩn mình với một số phận khủng khiếp ở bắc triều tiên.",26.672662701460858,44.20534560879855,-17.532682907337694,PyTorch Transformer
30,"Một ngày , cơn ác mộng đó đã thành sự thật , tôi đã bị cảnh sát Trung Quốc bắt và đưa đến đồn cảnh sát để chất vấn .","Một ngày , ác mộng tệ hại nhất của tôi trở thành , khi tôi bị bắt buộc bởi cảnh sát của người Trung Quốc và mang đến khu vực cảnh sát cho các nhà điều kiện .","một ngày, cơn ác mộng tồi tệ nhất của tôi trở thành hiện thực, khi tôi bị bắt bởi cảnh sát trung quốc và mang đến cảnh sát để điều tra.",38.891806168089296,51.07100772186771,-12.179201553778412,PyTorch Transformer
31,"Có ai đó đã báo với họ rằng tôi là người Bắc Triều Tiên , vì thế họ đã kiểm tra khả năng tiếng Trung của tôi và hỏi tôi rất nhiều câu hỏi .","Người ta đã bị buộc tội với tôi là Bắc Triều tiên , vì vậy họ kiểm tra khả năng của mình về khả năng của mình và hỏi tôi hàng tấn về những câu hỏi .","một người đã buộc tôi phải bị buộc tội bởi bắc triều tiên, họ đã kiểm tra khả năng ngôn ngữ trung quốc và hỏi tôi hàng tấn các câu hỏi.",46.790808829735006,47.088719201420155,-0.29791037168514833,PyTorch Transformer
32,"Tôi đã vô cùng sợ hãi , và có cảm giác như tim mình sắp nổ tung .","Tôi đã rất sợ hãi , tôi nghĩ trái tim của mình sẽ bị phá vỡ .","tôi rất sợ, tôi nghĩ trái tim của tôi sẽ bị nổ tung.",26.518097753310055,21.20309757690233,5.315000176407725,TensorFlow NMT
33,"Vì nếu như họ thấy có điều gì không tự nhiên , tôi sẽ bị tống vào tù và rồi bị trả về nước .","Nếu bất cứ thứ gì không thể tự nhiên , tôi có thể bị bỏ đi và sự làm một cách .","nếu bất cứ thứ gì có vẻ không tự nhiên, tôi có thể bị bỏ tù và chôn cất.",30.108297418252466,32.33651941239991,-2.228221994147443,PyTorch Transformer
34,"Tôi nghĩ cuộc đời mình đến đây là chấm dứt , nhưng tôi vẫn cố gắng điều khiển những cảm xúc của mình và trả lời những câu hỏi của họ .","Tôi nghĩ cuộc sống của mình là gì , nhưng tôi đã cố gắng kiểm soát tất cả những cảm xúc trong tôi và câu trả lời .","tôi nghĩ cuộc sống của tôi đã qua đời, nhưng tôi đã kiểm soát được tất cả những cảm xúc bên trong tôi và trả lời câu hỏi.",42.72919799437908,40.46461437228446,2.2645836220946194,TensorFlow NMT
35,"Sau khi hỏi xong , một trong hai cảnh sát nói với người kia , Đây là một vụ chỉ điểm sai .","Sau khi họ đã hoàn thành câu hỏi , một bản thân nói với nhau , một bản chất là một bản báo sai .","sau khi họ nghi ngờ tôi, một người đã nói với tôi một câu khác, & quot đây là một báo cáo sai lầm.",30.865513535097715,35.30842223658749,-4.442908701489774,PyTorch Transformer
36,Nó không phải là người Bắc Triều Tiên . &quot;,Cô ấy không phải Bắc Triều tiên . &quot;,cô ấy không phải bắc triều tiên. & quot,70.76854252730604,66.88933212648614,3.8792104008199004,TensorFlow NMT
37,Và họ thả tôi ra . Đó quả là một phép màu .,Và họ để tôi đi . Đó là một điều kì diệu .,và họ cho phép tôi đi. đó là một phép màu.,28.009592762683923,52.59495034779476,-24.585357585110835,PyTorch Transformer
38,"Một số người Bắc Triều Tiên ở Trung Quốc đã đến những đại sứ quán của nước ngoài để xin tị nạn , nhưng rất nhiều trong số đó đã bị bắt bởi cảnh sát Trung Quốc và bị trả về nước .","Một số người dân ở Trung Quốc tìm thấy ở một nơi ở ngoài nước ngoài , nhưng rất nhiều người có thể bị mắc phải bởi cảnh sát của người Trung Quốc và sự tiến bộ .","một số người hàn quốc ở trung quốc tìm kiếm những người tham gia ở đại sứ quán ngoại quốc, nhưng có rất nhiều người có thể bị bắt bởi cảnh sát trung quốc và những tên ngốc.",43.089571354537725,46.982044592899506,-3.892473238361781,PyTorch Transformer
39,những cô gái này đã rất may mắn .,Những cô gái này rất may mắn .,những cô gái này rất may mắn.,81.52846479946041,81.52846479946041,0.0,Tie
40,"vì mặc dù đã bị bắt , nhưng cuối cùng học cũng được thả ra nhờ vào sức ép từ cộng đồng quốc tế .","Mặc dù họ đã bị bắt đầu , họ đã được đưa ra sau sự áp lực lớn .","mặc dù họ bị bắt, họ cuối cùng cũng được giải phóng sau áp lực quốc tế nặng nề.",19.56351450826162,36.37112274639694,-16.807608238135323,PyTorch Transformer
41,Nhưng những người Bắc Triều Tiên này thì không được may mắn như vậy .,Những người này không phải là quá may mắn .,những người hàn quốc ở bắc cực không may mắn chút nào.,31.360757732433846,31.628008389831873,-0.26725065739802645,PyTorch Transformer
42,"Hàng năm , có vô số người Bắc Triều Tiên bị bắt ở Trung Quốc và bị trả về nước , nơi mà họ bị tra tấn , bị giam cầm hoặc bị xử tử công khai .","Mỗi năm , đa số những người dân cư dân đang bị bắt đầu ở Trung Quốc và sự xâm phạm với Bắc Triều tiên , nơi họ có thể bị tấn công , bị giam hoặc những hành động công khai .","mỗi năm, vô số người bắc triều tiên bị bắt ở trung quốc và ẩn dụ cho bắc triều tiên, nơi họ có thể bị tra tấn, bị bỏ tù hoặc bị hành quân.",46.58673110511275,55.27944651124015,-8.692715406127405,PyTorch Transformer
43,Trong khi tôi rất may mắn vì đã được thả ra thì rất nhiều đồng bào của tôi lại không được như vậy .,"Mặc dù tôi thực sự may mắn để thoát khỏi , nhiều người Mỹ không phải là quá may mắn .","mặc dù tôi đã rất may mắn khi được ra ngoài, rất nhiều người ở bắc triều tiên cũng không may mắn lắm.",19.042146886311322,31.58716837525611,-12.545021488944787,PyTorch Transformer
44,Việc người Bắc Triều Tiên phải che dấu danh tính của mình và đấu tranh để tồn tại quả là một bi kịch .,Nó là nỗi bi kịch mà Bắc Mỹ phải giấu bản thân họ và sự đấu tranh để tồn tại .,thật là bi kịch khi bắc triều tiên phải che giấu danh tính của họ và đấu tranh rất khó để tồn tại.,33.65636627421416,60.435418454284054,-26.779052180069897,PyTorch Transformer
45,"Kể cả khi đã học tiếng Trung và tìm được một công việc , thì cuộc sống của họ cũng có thể bị đảo lộn hoàn toàn chỉ trong một khoảng khắc .","Thậm chí sau khi học một ngôn ngữ mới và làm việc , cả thế giới của họ có thể trở thành một cách tự nhiên trong một thời điểm .","thậm chí sau khi học một ngôn ngữ mới và nhận được một công việc, toàn bộ thế giới của họ có thể trở nên hoàn toàn ngược lại ngay lập tức.",26.232352377908036,35.3962734905062,-9.163921112598167,PyTorch Transformer
46,"Đó là lý do tại sao sau 10 năm che dấu danh tính thật tôi quyết định liều mình đi đến Hàn Quốc , để bắt đầu một cuộc sống mới một lần nữa .","Đó là lý do tại sao , sau 10 năm qua , tôi quyết định , tôi quyết định sẽ có một cuộc sống mới , và tôi bắt đầu một cuộc sống mới .","đó là lý do tại sao, sau 10 năm ẩn danh của tôi, tôi quyết định mạo hiểm sẽ trở thành hàn quốc, và tôi lại bắt đầu một cuộc sống mới.",48.90989282409255,53.95916033584618,-5.0492675117536265,PyTorch Transformer
47,Việc ổn định cuộc sống ở đây khó khăn hơn nhiều so với tôi tưởng tượng .,Việc thay đổi ở miền Nam Quốc của Trung Quốc là một sự thách thức hơn nhiều so với tôi .,việc xây dựng ở hàn quốc là khó khăn hơn rất nhiều so với tôi đã đoán trước.,33.33064586625848,42.951444904926205,-9.620799038667727,PyTorch Transformer
48,"Vì ở Hàn Quốc , tiếng Anh có vị trí vô cùng quan trọng , nên tôi đã bắt đầu học tiếng Anh , ngôn ngữ thứ ba của tôi .","Anh ấy rất quan trọng trong các vị viện của Trung Quốc , vì vậy tôi phải bắt đầu học điều trị thứ 3 .","tiếng anh rất quan trọng ở hàn quốc, nên tôi phải bắt đầu học ngôn ngữ thứ ba của mình.",30.496162040203096,53.79874342946287,-23.30258138925977,PyTorch Transformer
49,Tôi cũng nhận ra một khoảng cách rất lớn giữa người Nam và Bắc Triều Tiên .,Tôi nhận ra rằng có một khoảng cách lớn giữa Bắc và Nam .,tôi cũng nhận ra có một khoảng cách rộng lớn giữa bắc và nam.,44.435793065990545,55.23343971181234,-10.797646645821793,PyTorch Transformer
50,"Chúng tôi đều là người Triều Tiên , nhưng đã trở nên rất khác nhau do hậu quả của 67 năm bị chia cắt .","Chúng ta đều là người Hàn Quốc , nhưng bên trong , chúng ta đã trở thành rất nhiều vì với đến với đến với đến với đến mức độ phân chia .","chúng ta đều là người hàn quốc, nhưng bên trong, chúng ta đã trở nên rất khác biệt so với 5000 năm phân chia.",30.799269513760642,42.764643553667035,-11.965374039906393,PyTorch Transformer
51,Tôi đã trải qua một cuộc khủng hoảng về nguồn gốc của mình .,Tôi thậm chí còn đi qua một cuộc khủng hoảng riêng biệt .,tôi thậm chí đã trải qua một cuộc khủng hoảng nhân dạng.,46.50195313184113,58.25226138994074,-11.750308258099615,PyTorch Transformer
52,Tôi là người Nam Triều Tiên hay Bắc Triều Tiên ?,Tôi có ở Nam Triều Tiên hay Bắc Triều Tiên ?,am tôi là nam hàn hay bắc hàn?,76.09796263792319,31.432943517486123,44.665019120437066,TensorFlow NMT
53,Tôi đến từ đâu ? và Tôi là ai ?,Tôi từ đâu ? Tôi là ai ?,tôi đến từ đâu? tôi là ai?,56.88231851288047,79.58470936392364,-22.70239085104317,PyTorch Transformer
54,"Bỗng nhiên , tôi chẳng có một đất nước nào để có thể tự hào gọi là Tổ quốc .","Đột nhiên , không có đất nước tôi có thể gọi là người .","đột nhiên, không có đất nước nào tôi có thể gọi mình là một đất nước tự hào.",35.32444621895628,46.51527359383447,-11.19082737487819,PyTorch Transformer
55,Mặc dù để thích ứng với cuộc sống ở Hàn Quốc thì không dễ chút nào Nhưng tôi đã lập một kế hoạch .,"Mặc dù điều chỉnh cho cuộc sống ở Trung Quốc không phải là , tôi đã làm một kế hoạch .","mặc dù điều chỉnh để điều chỉnh cuộc sống ở hàn quốc không dễ dàng chút nào, tôi đã lập một kế hoạch.",41.62257000538999,62.60633713628685,-20.983767130896858,PyTorch Transformer
56,và bắt đầu học để chuẩn bị cho kì thi đại học .,Tôi bắt đầu nghiên cứu về những bài kiểm tra đại học .,tôi bắt đầu nghiên cứu về cuộc kiểm tra trường đại học.,29.768534456304156,29.18105945985027,0.587474996453885,TensorFlow NMT
57,"Tuy vậy , ngay khi tôi vừa mới làm quen với cuộc sống ở đây , thì tôi được báo một tin khủng khiếp .","Chỉ là tôi bắt đầu sử dụng để sử dụng được một cuộc sống mới , tôi đã nhận được một chiếc gọi là một chiếc điện thoại .","chỉ khi tôi bắt đầu quen với cuộc sống mới của mình, tôi nhận được một chiếc điện thoại gây sốc.",22.826396867555538,34.57191107044745,-11.745514202891911,PyTorch Transformer
58,"Chính quyền Bắc Triều Tiên đã phát hiện ra số tiền mà tôi gửi về cho gia đình , và , để trừng phạt , họ sẽ bắt gia đình tôi phải chuyển về một vùng bị cách ly ở nông thôn .","Những người ở Bắc Triều tiên đã phân bố một số tiền mà tôi gửi tới gia đình , và như là một hình phạt , gia đình tôi sẽ bị dính bỏ để bị bỏ đi một nơi xa xôi trong khu vực nông thôn .","chính quyền hàn quốc đã can thiệp một số tiền mà tôi đã gửi đến gia đình, và, như một hình phạt, gia đình tôi sẽ bị loại bỏ khỏi một địa điểm hoang dã ở vùng nông thôn.",45.48413398233914,42.41846194360571,3.0656720387334246,TensorFlow NMT
59,"Để họ có thể nhanh chóng thoát ra khỏi đó , tôi bắt đầu lập kế hoạch giúp gia đình mình trốn thoát .","Họ phải ra nhanh chóng , nên tôi bắt đầu kế hoạch để giúp họ giải quyết .","họ phải thoát ra nhanh chóng, nên tôi bắt đầu lập kế hoạch làm cách nào để giúp họ thoát khỏi.",34.741161292780006,50.35194794363155,-15.610786650851544,PyTorch Transformer
60,Người Bắc Triều Tiên đã phải vượt qua những khoảng cách dường như không tưởng để đến với tự do .,Bắc Mỹ phải đi đến những khoảng cách tự do để tự do .,người dân bắc triều tiên phải đi du lịch khoảng cách đáng kinh ngạc trên con đường đến tự do.,31.266052569047133,40.43620998676385,-9.170157417716716,PyTorch Transformer
61,"Bời vì việc vượt biên từ Bắc sang Nam Triều Tiên gần như là không thể , vì thế , tôi phải bay sang Trung Quốc rồi lại đi ngược về phía biên giới Bắc Triều Tiên .","Nó gần như không thể vượt qua biên giới giữa Bắc Triều tiên và Nam Hàn , vậy nên , tôi đã chụp một chuyến bay quay trở lại Trung Quốc và tôi đi đến phía Bắc .","gần như không thể vượt biên giới giữa bắc triều tiên và hàn quốc, vì vậy, trớ trêu thay, tôi đã quay trở lại trung quốc và tôi hướng tới biên giới bắc triều tiên.",38.54482956509244,46.3026692809686,-7.757839715876159,PyTorch Transformer
62,"Bởi vì gia đình tôi không biết tiếng Trung , nên tôi phải đi cùng mọi người qua 2000 dặm ở Trung Quốc rồi vào đến Đông Nam Á","Từ gia đình tôi không thể nói tiếng Trung Quốc , tôi phải dẫn dắt chúng , bằng cách nào đó , qua một cách nào đó , qua một số nước ở Trung Quốc và sau đó thành phố ở Nam Á .","từ khi gia đình tôi không thể nói tiếng trung quốc, tôi phải hướng dẫn họ, bằng cách nào đó, qua hơn 2000 dặm ở trung quốc và sau đó trở thành đông nam á.",38.79874968596828,49.92057698074232,-11.121827294774036,PyTorch Transformer
63,"Cuộc hành trình bằng xe buýt kéo dài khoảng 1 tuần , và đã vài lần chúng tôi suýt bị bắt .","Cuộc hành trình của xe buýt đã chụp một tuần , chúng tôi gần như chúng tôi đã bị mắc vài lần .","cuộc hành trình bằng xe buýt mất một tuần, và chúng tôi gần như bị bắt một vài lần.",42.7591554902157,57.541517959421896,-14.782362469206198,PyTorch Transformer
64,"Một lần , xe của chúng tôi bị chặn lại và bị khám xét bởi một cảnh sát Trung quốc .","Một lần , xe buýt của chúng tôi bị dừng lại và nâng cao bằng một người quản lý Trung Quốc .","một lần, chiếc xe buýt bị dừng lại và được lên bởi một cảnh sát trung quốc.",49.65556716218328,52.46134943578284,-2.8057822735995614,PyTorch Transformer
65,"Anh ta thu chứng minh thư của tất cả mọi người , và bắt đầu tra hỏi .","Ông ấy lấy được những thẻ thẻ của mọi người , và anh ấy bắt đầu hỏi họ .",anh ấy lấy tất cả mọi người bằng chứng phân tích. và anh ta bắt đầu hỏi họ những câu hỏi.,36.080336768227966,43.953993412869906,-7.87365664464194,PyTorch Transformer
