sentence_id,reference,TensorFlow NMT_hypothesis,PyTorch Transformer_hypothesis,TensorFlow NMT_sentence_chrfpp,PyTorch Transformer_sentence_chrfpp,chrfpp_difference_TensorFlow NMT_minus_PyTorch Transformer,winner
678,Nhưng chủ yếu là thật khó mà tháo tung một di sản về giới tính và vấn đề sắc tộc trong khi tôi là một trong những người hưởng lợi lớn nhất .,Nhưng hầu hết là khó khăn để giải quyết một sự di chuyển của giới tính và những sự đánh giá của sự việc .,nhưng chủ yếu là rất khó để giải mã một di sản về giới tính và sự áp bức khi tôi là một trong những người có lợi ích lớn nhất.,20.824909562728834,59.93488429065459,-39.10997472792575,PyTorch Transformer
1070,"ẩn trong bóng tối căn phòng không cửa sổ , và nói chung là tránh ánh nắng mặt trời .","Chúng ta đã giấu trong tối , những căn phòng thực hiện , và những người bình thường .","chúng ta giấu trong những căn phòng tối, không cửa sổ, và nhìn chung là tránh ánh sáng mặt trời.",26.77285260667596,64.9005451401218,-38.127692533445845,PyTorch Transformer
1238,Kofi là hiện thân của khả năng,Helen là một sự khả thi của khả năng .,chúng ta là hiện thân của khả năng.,40.63835354195766,78.66160595279563,-38.02325241083796,PyTorch Transformer
1123,"Ngày xảy ra sóng thần , anh chịu trách nhiệm đóng chặt cửa chắn sóng thần .","Ngày hôm qua , ông đã thực sự làm được việc đảm bảo rằng những cánh đồng thần kinh bị đóng góp .","ngày của sóng thần, anh ta thực sự đã chịu trách nhiệm đảm bảo rằng sóng thần đang đóng cửa.",19.37660012521051,56.92742890195154,-37.55082877674103,PyTorch Transformer
92,Xin đừng nói với tôi rằng tôi bình thường .,Đừng kể cho tôi là bình thường .,xin đừng nói với tôi tôi là bình thường.,37.094403399074686,74.62262919258748,-37.528225793512796,PyTorch Transformer
126,Bạn có thể phi thường .,Bạn có thể là những gì đáng kinh ngạc .,bạn có thể là một điều phi thường.,38.54824295424361,75.72232329273336,-37.17408033848975,PyTorch Transformer
355,Chúng tôi luôn tự hỏi họ biết gì về chúng tôi .,Chúng ta luôn tự hỏi chúng biết gì về chúng ta .,chúng tôi luôn tự hỏi họ biết gì về chúng tôi.,63.13909908820315,100.0,-36.86090091179685,PyTorch Transformer
868,Đừng hiểu lầm tôi .,Bây giờ không có gì tôi sai .,bây giờ đừng hiểu sai ý tôi.,14.676655492204274,51.48976973610907,-36.81311424390479,PyTorch Transformer
479,Sự sụp đổ của bức tường Berlin có thể sẽ không tồn tại .,Cái nặng của ngài Mỹ sẽ không phải là ai ở đó .,sự sụp đổ của bức tường nigeria có lẽ không phải là & # 91 tồn tại & # 93.,19.53337837261249,56.21855648864321,-36.68517811603072,PyTorch Transformer
191,Tôi không giống môt nhà tư vấn bạo lực gia đình .,Tôi không nhìn như một sự sống chung của một cuộc sống sống .,tôi không trông giống một người sống bình thường về bạo lực gia đình.,22.856476851065135,59.24351646185366,-36.38703961078852,PyTorch Transformer
1213,Đây là chân dung gia đình .,Đây là một bức tranh của gia đình .,đây là một bức chân dung gia đình.,45.541076101123934,81.82528829260897,-36.28421219148504,PyTorch Transformer
947,Tôi đã làm việc cho tổ chức phi chính phủ của Ý và mỗi một dự án chúng tôi lập ra tại Châu Phi thất bại,"Tôi làm việc cho một người Mỹ , và mỗi dự án mà chúng tôi tạo ra ở Châu Phi ,","tôi đã làm việc cho một tổ chức phi chính phủ ý, và mỗi một dự án mà chúng tôi thành lập ở châu phi thất bại.",36.99670752629467,72.1848487283614,-35.18814120206673,PyTorch Transformer
218,Tôi đã không biết rằng giai đoạn đầu tiên trong bất kì mối quan hệ bạo lực gia đình là cám dỗ và quyến rũ nạn nhân .,Tôi không biết rằng sân khấu đầu tiên trong bất kỳ mối quan hệ nào là sự hấp dẫn và sự đơn giản của nạn nhân .,tôi không biết rằng giai đoạn đầu tiên trong bất kỳ mối quan hệ bạo lực gia đình nào là hấp dẫn và quyến rũ nạn nhân.,46.71211053853524,79.97230369821355,-33.26019315967831,PyTorch Transformer
15,"Vào giữa những năm 90 , Bắc Triều Tiên trải qua một nạn đói trầm trọng .",Một sự thiệt hại lớn lao động ở Bắc Triều .,một nạn đói khổng lồ gây ra bắc triều tiên ở giữa những năm 1990.,17.251505512890873,50.469842252892725,-33.21833674000185,PyTorch Transformer
259,"Tôi đã có thể bỏ đi , bởi vì một đòn đánh thô bạo cuối cùng đã đập tan sự từ bỏ của tôi .","Tôi có thể để lại , vì một thứ , kẻ đánh đập , kẻ đánh đập đã bị phá vỡ qua sự xâm phí của mình .","tôi đã có thể bỏ đi, bởi vì một lần cuối cùng, kẻ bạo lực đã phá vỡ sự phủ nhận của tôi.",22.415282707037477,55.51720150991426,-33.10191880287678,PyTorch Transformer
485,Và bạn phải đấu tranh không ngừng nghỉ cho nó mỗi ngày .,Bạn phải chiến đấu cho mọi ngày .,bạn phải đấu tranh cho nó mỗi ngày.,28.785197574638854,61.86355749369326,-33.07835991905441,PyTorch Transformer
103,Nhưng cũng là có chọn lọc .,"Ông ấy có một con gián tiếp , dù vậy .","tuy nhiên, anh ta có một người có chọn lọc.",9.979786082297764,42.759399052910574,-32.77961297061281,PyTorch Transformer
292,Tôi sẽ nói cho bạn biết tại sao .,Và tôi sẽ kể cho các bạn biết tại sao .,và tôi sẽ nói cho bạn biết tại sao.,65.56084931741367,98.10598199587879,-32.54513267846512,PyTorch Transformer
205,"Anh ta ngồi cạnh tôi trong đường hầm thành phố New york , và anh bắt chuyện với tôi .","Ông ngồi cạnh tôi đến New York , và ông bắt đầu với tôi .","anh ta ngồi cạnh tôi trên tàu điện ngầm thành phố new york, và anh ấy bắt đầu nói chuyện với tôi.",41.311722652429424,73.58664844295058,-32.27492579052115,PyTorch Transformer
1089,"Vào cuối tuần đầu tiên ở đó , tôi đến giúp đỡ một trung tâm di tản ở thị trấn .","Cuối cùng của tôi , tôi đã tìm thấy mình đang giúp đỡ trong một trung tâm công nghệ trong thành phố .","vào cuối tuần đầu tiên của tôi ở đó, tôi đã tìm thấy bản thân mình giúp đỡ trong một trung tâm sơ tán tại thị trấn.",31.71092706303753,63.848753415041614,-32.13782635200408,PyTorch Transformer
1107,Có thể mất đến hàng tháng .,Nó có thể mang đến tháng 6 .,nó có thể mất hàng tháng.,40.03824467676147,72.0719654243579,-32.033720747596426,PyTorch Transformer
93,Bây giờ tôi muốn giới thiệu các bạn với những người em trai của tôi,Tôi muốn giới thiệu với các bạn anh em .,bây giờ tôi muốn giới thiệu các bạn với các bạn anh trai của tôi.,42.11685164665362,73.40672554409004,-31.289873897436415,PyTorch Transformer
654,Cô bạn của tôi đã đi cùng tôi .,Bạn tôi đến với tôi .,người bạn của tôi đã đến với tôi.,24.55194875346658,55.76210033344671,-31.21015157998013,PyTorch Transformer
1025,Bài thuyết trình nào bạn vỗ tay nhiều nhất trong sáng nay ?,Điều này đã có thể làm gì cho các bạn một cách có thể làm được điều này ?,bài thuyết trình này cho thấy các bạn ngừng đập vào buổi sáng hôm nay?,11.627490351830517,42.63983559788287,-31.012345246052355,PyTorch Transformer
1202,Người làm ở đây thường phải chịu lạm dụng tình dục thê thảm dưới bàn tay khách hàng .,Những nhân viên này thường chịu đựng sự bất ổn của việc lạm dụng sự bất ổn .,những nhân viên ở đây thường chịu trách nhiệm lạm dụng tình dục ở bàn tay của khách hàng.,21.192760691985992,52.13501775861198,-30.942257066625988,PyTorch Transformer
501,"Hồi đó , chúng tôi không hề biết chuyến đi ấy sẽ thay đổi cuộc sống của chúng tôi như thế nào .","Trở lại , chúng ta không biết được bao nhiêu cái này sẽ thay đổi cuộc sống của chúng ta .","quay trở lại, chúng tôi không biết chuyến đi này sẽ thay đổi cuộc sống của chúng tôi như thế nào.",49.17498140681297,79.97576196214592,-30.800780555332956,PyTorch Transformer
502,Nó trở nên thật thiêng liêng với chúng tôi .,Nó thực sự là một sự thật thành một sự thành thạo với chúng ta .,nó thực sự trở nên thiêng liêng đối với chúng ta.,31.093036265815645,61.78825955749768,-30.695223291682037,PyTorch Transformer
914,"Như các bạn thấy đó , các bóng đèn hướng ra phía ngoài , bởi vì đó là hướng sư tử tiến vào .","Như bạn có thể thấy , mặt đất , vì đó là nơi mà sư tử đến từ đó .","như các bạn có thể thấy, các bóng đèn bên ngoài, bởi vì đó là nơi mà sư tử đến từ đâu.",22.142546023349,52.07865810098844,-29.936112077639443,PyTorch Transformer
585,Thuật ngữ ngăn cản chúng tôi hiểu được ý tưởng của anh .,Tài nguyên là một rào cản để hiểu về các ý tưởng của bạn .,thuật ngữ là một rào cản để hiểu được ý tưởng của chúng ta.,29.11855254507325,58.40683034031138,-29.28827779523813,PyTorch Transformer
1171,"Ở Ấn Độ và Nepal , tôi được đưa tới 1 lò gạch .","Ở Ấn Độ , tôi đã giới thiệu với các viên gạch .","ở ấn độ và nepal, tôi được giới thiệu đến lò nướng gỗ.",29.956203447915737,59.22341623152383,-29.26721278360809,PyTorch Transformer
800,Nó nằm trên một dải đất mà chúng tôi gọi là đường đi dạo .,Nó nằm trên một nơi đầy đủ . Chúng tôi gọi là một kẻ hợp tác .,nó nằm trên một dải đất mà chúng tôi gọi là một nhà đi học đường.,50.38151649437496,79.2543391872641,-28.872822692889137,PyTorch Transformer
477,"Như tôi đã nói khi bắt đầu , hãy tưởng tượng nếu tất cả những người này trên đường phố Berlin mùa thu năm 1989 có một chiếc điện thoại di động trong túi .","Như tôi nói đến sự bắt đầu , hình dung rằng tất cả những người này trên những con đường của Berlin ở đây , trong mùa thu thập của chúng tôi .","như tôi đã nói lúc đầu, hãy tưởng tượng rằng tất cả những người trên đường phố ở berlin năm 1984 đã có một chiếc điện thoại di động trong túi của họ.",41.8472859607094,70.600764505979,-28.7534785452696,PyTorch Transformer
880,Chào . Xin cảm ơn .,Hoà bình . Cảm ơn .,hoà bình. xin cảm ơn.,39.427100677100675,68.16372533606939,-28.736624658968715,PyTorch Transformer
697,Nhưng tôi đấu tranh để duy trì góc nhìn này trong cuộc sống hàng ngày của mình .,Nhưng tôi đã cố gắng duy trì quan điểm này trong cuộc sống của mình .,nhưng tôi phải đấu tranh để duy trì quan điểm này trong cuộc sống hàng ngày của mình.,52.167009762652214,80.87072484493373,-28.70371508228152,PyTorch Transformer
896,"Ý tưởng đầu tiên mà tôi có được là sử dụng lửa , bởi vì tôi nghĩ sư tử sợ lửa .",Và ý tưởng đầu tiên tôi đã dùng để sử dụng lửa vì tôi nghĩ sư tử là những cơn cháy .,"và ý tưởng đầu tiên tôi có được là sử dụng lửa, bởi vì tôi nghĩ rằng sư tử đã rất sợ lửa.",53.19629303712558,81.88622062604145,-28.68992758891587,PyTorch Transformer
